Distanza: 25000.0
X [mm]	Y [mm]	Z [mm]	A0 	 RSS 	 Time 	 A1 	 RSS 	 Time 	 A2 	 RSS 	 Time 	 A3 	 RSS 	 Time 	 
781	24486	-9534	26359	-98	954612	22828	-94	954626	25182	-99	954639	24629	-93	954655	
3263	24168	-9824	26458	-97	954684	22799	-93	954697	25074	-98	954711	24629	-91	954724	
2604	24329	-9620	26359	-97	954751	22846	-93	954764	25070	-99	954778	24605	-93	954791	
2890	23956	-10415	26388	-96	954816	22823	-92	954829	25060	-100	954844	24624	-91	954857	
Err	Err	Err	26369	-96	954884	22818	-91	954897	25060	-100	954844	24633	-93	954918	
Err	Err	Err	26327	-97	954949	22832	-93	954963	25060	-100	954844	24586	-93	954984	
Err	Err	Err	26317	-98	955013	22832	-93	955026	25060	-100	954844	24582	-94	955047	
Err	Err	Err	26313	-98	955076	22809	-94	955089	25060	-100	954844	24591	-94	955111	
Err	Err	Err	26341	-98	955138	22781	-93	955153	25060	-100	954844	24530	-95	955174	
-1071	25520	-6048	26186	-99	955203	22767	-94	955216	25154	-100	955230	24465	-96	955244	
Err	Err	Err	26186	-99	955203	22799	-96	955279	25154	-100	955230	24488	-96	955300	
-20943	12149	-4047	26186	-99	955203	22701	-96	955336	25206	-99	955349	24460	-96	955363	
-21413	11130	-3993	26186	-99	955203	22720	-96	955404	25234	-98	955418	24479	-96	955433	
-21316	11524	-3890	26186	-99	955203	22720	-95	955476	25281	-99	955490	24502	-96	955503	
-21060	11960	-4231	26186	-99	955203	22734	-96	955540	25220	-100	955554	24568	-95	955567	
-21046	11904	-4378	26186	-99	955203	22738	-95	955614	25182	-100	955628	24586	-95	955642	
-22338	8335	-4284	26186	-99	955203	22851	-96	955682	25182	-100	955696	24568	-95	955709	
-21370	11106	-4297	26186	-99	955203	22785	-96	955746	25163	-99	955760	24511	-96	955773	
-20744	12596	-4170	26186	-99	955203	22753	-96	955821	25182	-98	955835	24465	-97	955848	
-5147	25511	-3224	26162	-98	955880	22743	-95	955893	25370	-97	955907	24460	-96	955920	
-5199	24825	-6376	26134	-98	955946	22720	-94	955959	25356	-97	955973	24502	-96	955986	
-4326	25717	-2985	26191	-98	956012	22743	-94	956025	25342	-97	956039	24455	-96	956052	
-21426	11324	-3665	26191	-98	956012	22753	-94	956093	25281	-99	956107	24427	-97	956120	
-21154	11861	-3803	26191	-98	956012	22767	-94	956159	25234	-99	956173	24432	-97	956186	
-2886	26087	-1627	26214	-100	956219	22781	-96	956232	25281	-100	956246	24432	-97	956260	
-2417	26094	-2177	26209	-101	956287	22753	-96	956301	25243	-99	956314	24418	-97	956328	
Err	Err	Err	26191	-100	956354	22729	-97	956368	25370	-98	956381	24418	-97	956328	
-4327	25510	-4119	26139	-100	956415	22743	-96	956429	25304	-98	956442	24450	-96	956456	
-23167	4803	-3622	26139	-100	956415	22748	-96	956491	25482	-97	956505	24549	-96	956518	
-5907	25386	-3117	26186	-100	956550	22790	-96	956563	25445	-97	956577	24507	-96	956591	
-2117	25962	-3832	26280	-104	956617	22776	-95	956631	25285	-98	956644	24493	-97	956658	
-2067	26109	-2712	26275	-100	956686	22790	-94	956700	25281	-99	956713	24474	-96	956727	
828	25863	-4939	26284	-99	956752	22837	-93	956765	25131	-100	956779	24493	-96	956792	
1424	25107	-7684	26289	-99	956820	22823	-93	956833	25093	-101	956847	24535	-95	956860	
Err	Err	Err	26266	-98	956887	22860	-91	956901	25093	-101	956847	24563	-95	956922	
-22231	8567	-4541	26266	-98	956887	22865	-92	956957	25145	-99	956971	24615	-93	956984	
-3479	23882	-10159	26214	-97	957017	22837	-92	957030	25351	-97	957044	24652	-93	957057	
-3643	24139	-9408	26158	-98	957084	22828	-92	957097	25313	-96	957111	24601	-95	957124	
-6293	24693	-5885	26134	-98	957150	22757	-94	957163	25431	-96	957177	24530	-97	957190	
-4836	25726	-2038	26162	-100	957218	22776	-95	957231	25356	-96	957245	24446	-98	957258	
Err	Err	Err	26125	-99	957285	22753	-95	957299	25356	-96	957245	24385	-97	957319	
-4913	25743	-932	26125	-99	957348	22738	-95	957361	25323	-96	957375	24389	-98	957388	
-6681	25210	1863	26069	-99	957415	22743	-96	957429	25389	-96	957442	24343	-98	957456	
Err	Err	Err	26214	-99	957482	22743	-96	957429	25337	-96	957502	24375	-97	957516	
-6012	25327	2894	26139	-99	957543	22753	-95	957556	25407	-96	957570	24352	-97	957583	
-4929	25734	-827	26130	-99	957611	22757	-96	957625	25332	-96	957638	24399	-97	957652	
