Distanza: 35000.0
X [mm]	Y [mm]	Z [mm]	A0 	 RSS 	 Time 	 A1 	 RSS 	 Time 	 A2 	 RSS 	 Time 	 A3 	 RSS 	 Time 	 
-4829	36268	-231	36688	-98	1052645	32865	-96	1052659	35679	-98	1052672	34694	-96	1052686	
Err	Err	Err	36622	-97	1052712	32837	-98	1052725	35679	-98	1052672	34713	-97	1052753	
-7791	35590	3705	36659	-97	1052779	32992	-98	1052793	35825	-101	1052806	34727	-96	1052820	
-9719	35117	3109	36716	-98	1052847	32898	-99	1052860	35946	-100	1052874	34746	-95	1052887	
Err	Err	Err	36598	-98	1052916	33015	-97	1052929	35876	-98	1052943	34746	-95	1052887	
-6071	35752	-5070	36627	-98	1052981	33029	-97	1052994	35731	-98	1053008	34830	-94	1053021	
-5269	35801	-5499	36622	-100	1053048	32996	-100	1053061	35684	-98	1053075	34807	-95	1053088	
Err	Err	Err	36622	-100	1053048	32996	-100	1053061	35750	-99	1053139	34708	-96	1053153	
Err	Err	Err	36622	-100	1053048	32912	-101	1053184	35726	-100	1053198	34657	-97	1053211	
Err	Err	Err	36406	-115	1053240	32917	-100	1053254	35726	-100	1053198	34638	-98	1053281	
Err	Err	Err	36406	-115	1053240	32752	-99	1053324	35726	-100	1053198	34558	-96	1053345	
Err	Err	Err	36392	-99	1053369	32687	-97	1053383	35726	-100	1053198	34422	-96	1053404	
-7652	29133	20267	36636	-98	1053433	33015	-95	1053446	35890	-100	1053459	34446	-95	1053473	
-4731	35087	-9195	36842	-99	1053500	32720	-97	1053513	35764	-99	1053527	34849	-96	1053541	
Err	Err	Err	36500	-102	1053569	32870	-99	1053582	35764	-99	1053527	34610	-98	1053604	
Err	Err	Err	36509	-100	1053633	32860	-99	1053647	35764	-99	1053527	34685	-97	1053669	
Err	Err	Err	36594	-99	1053698	33010	-98	1053711	35764	-99	1053527	35107	-94	1053732	
Err	Err	Err	36594	-99	1053698	33198	-97	1053769	35707	-99	1053782	34643	-94	1053796	
Err	Err	Err	36594	-99	1053698	32935	-99	1053830	35707	-99	1053782	34422	-95	1053858	
Err	Err	Err	36594	-99	1053698	32766	-99	1053887	35707	-99	1053782	34502	-97	1053909	
Err	Err	Err	36439	-101	1053931	32870	-98	1053945	35707	-99	1053782	34525	-98	1053966	
Err	Err	Err	36537	-99	1053994	32907	-99	1054008	35707	-99	1053782	34568	-98	1054030	
Err	Err	Err	36594	-99	1054058	32884	-97	1054072	35707	-99	1053782	34652	-97	1054093	
Err	Err	Err	36589	-99	1054126	32884	-97	1054072	35707	-99	1053782	34568	-98	1054162	
Err	Err	Err	36495	-105	1054186	32888	-98	1054199	35707	-99	1053782	34568	-96	1054220	
-6691	35887	1174	36519	-101	1054248	32931	-97	1054262	35651	-99	1054275	34647	-95	1054289	
-33320	3933	-4925	36519	-101	1054248	32945	-98	1054323	35628	-99	1054337	34610	-95	1054350	
-6666	35600	-4464	36444	-102	1054384	32996	-98	1054398	35609	-98	1054411	34718	-94	1054425	
Err	Err	Err	36444	-102	1054384	32978	-98	1054467	35609	-97	1054481	34741	-93	1054494	
-5048	35900	-4936	36542	-99	1054521	33057	-96	1054535	35628	-97	1054548	34783	-93	1054562	
Err	Err	Err	36598	-97	1054589	33043	-96	1054603	35628	-97	1054548	34722	-93	1054625	
Err	Err	Err	36645	-96	1054651	33057	-95	1054664	35628	-97	1054548	34722	-95	1054686	
Err	Err	Err	36655	-96	1054717	33053	-95	1054730	35628	-97	1054548	34736	-95	1054751	
Err	Err	Err	36636	-96	1054779	33053	-95	1054793	35628	-97	1054548	34722	-95	1054814	
Err	Err	Err	36613	-96	1054843	32982	-96	1054857	35628	-97	1054548	34638	-96	1054878	
Err	Err	Err	36627	-97	1054906	32987	-97	1054920	35628	-97	1054548	34624	-97	1054941	
Err	Err	Err	36617	-97	1054971	32968	-96	1054985	35628	-97	1054548	34586	-98	1055006	
Err	Err	Err	36613	-97	1055035	32935	-96	1055049	35628	-97	1054548	34586	-97	1055070	
Err	Err	Err	36584	-98	1055099	32907	-96	1055113	35628	-97	1054548	34652	-97	1055134	
-8648	34732	7067	36552	-98	1055161	32917	-97	1055176	35773	-100	1055189	34600	-97	1055203	
-8273	35053	5840	36580	-100	1055229	32865	-96	1055243	35764	-99	1055256	34600	-96	1055270	
-9653	34907	3923	36491	-100	1055298	32851	-97	1055311	35754	-98	1055326	34596	-97	1055339	
Err	Err	Err	36505	-102	1055365	32912	-97	1055378	35754	-98	1055326	34582	-97	1055399	
-33369	4291	-4476	36505	-102	1055365	32860	-97	1055440	35792	-98	1055454	34535	-96	1055467	
-33301	5046	-4587	36505	-102	1055365	32827	-97	1055506	35787	-99	1055520	34572	-97	1055533	
-33413	3627	-4470	36505	-102	1055365	32832	-96	1055572	35839	-99	1055586	34544	-96	1055599	
-10647	34687	3410	36505	-100	1055631	32888	-96	1055645	35820	-99	1055658	34643	-96	1055672	
-12080	33921	5073	36448	-101	1055698	32846	-97	1055711	35843	-98	1055725	34591	-96	1055738	
-8799	34879	5979	36547	-102	1055764	32841	-96	1055778	35759	-99	1055791	34577	-96	1055805	
-11066	34553	2979	36514	-101	1055831	32832	-97	1055845	35839	-99	1055858	34633	-96	1055872	
-33178	6207	-4544	36514	-101	1055831	32827	-98	1055911	35764	-99	1055925	34553	-96	1055938	
