Distanza: 40000.0
X [mm]	Y [mm]	Z [mm]	A0 	 RSS 	 Time 	 A1 	 RSS 	 Time 	 A2 	 RSS 	 Time 	 A3 	 RSS 	 Time 	 
Err	Err	Err	39727	-99	1098517	36345	-98	1098531	0	0	1705985	38296	-96	1098561	
455	37815	-12516	39839	-99	1098587	36364	-97	1098601	38695	-98	1098614	38109	-96	1098628	
-724	34867	-18833	39694	-99	1098653	36345	-98	1098667	38639	-99	1098680	38137	-97	1098694	
Err	Err	Err	39694	-99	1098653	36345	-98	1098667	38714	-98	1098736	37982	-101	1098750	
-5536	38951	-5535	39643	-101	1098772	36270	-100	1098785	38756	-98	1098800	37940	-100	1098814	
Err	Err	Err	39643	-101	1098772	36200	-100	1098854	38742	-97	1098868	37931	-100	1098881	
Err	Err	Err	39643	-101	1098772	36294	-101	1098913	38756	-97	1098927	37931	-100	1098881	
Err	Err	Err	39643	-101	1098772	36294	-101	1098913	38751	-96	1098975	37940	-99	1098990	
Err	Err	Err	39643	-101	1098772	36237	-99	1099019	38704	-97	1099033	37940	-99	1098990	
Err	Err	Err	39643	-101	1098772	36247	-98	1099075	38672	-96	1099089	37851	-98	1099103	
Err	Err	Err	39643	-101	1098772	36214	-98	1099135	38606	-97	1099149	37823	-97	1099163	
1743	38855	8801	39947	-99	1099189	36251	-97	1099203	38681	-98	1099216	37809	-97	1099230	
Err	Err	Err	39947	-99	1099189	36181	-95	1099262	38672	-98	1099276	38334	-97	1099289	
Err	Err	Err	39947	-99	1099189	36181	-95	1099262	38620	-97	1099330	37898	-97	1099343	
Err	Err	Err	39947	-99	1099189	36181	-95	1099262	38601	-95	1099380	37888	-97	1099393	
3185	38526	9734	39933	-99	1099414	36251	-97	1099428	38611	-97	1099441	37771	-96	1099455	
Err	Err	Err	39933	-99	1099414	36219	-98	1099489	38658	-100	1099503	37860	-96	1099516	
Err	Err	Err	39933	-99	1099414	36143	-98	1099551	38690	-98	1099565	37893	-98	1099578	
Err	Err	Err	39825	-100	1099604	36280	-99	1099618	38653	-100	1099631	37893	-98	1099578	
Err	Err	Err	39825	-100	1099604	36280	-99	1099618	38719	-99	1099680	37940	-97	1099694	
220	39431	-6251	39915	-97	1099715	36317	-99	1099728	38742	-99	1099742	38043	-97	1099755	
517	39562	-5094	39905	-97	1099782	36242	-102	1099795	38700	-100	1099809	37982	-97	1099822	
Err	Err	Err	39830	-99	1099849	36237	-99	1099863	38700	-100	1099809	38024	-101	1099884	
Err	Err	Err	39863	-100	1099910	36237	-99	1099863	38737	-99	1099938	37935	-99	1099951	
Err	Err	Err	39896	-99	1099978	36256	-99	1099991	38728	-99	1100005	37935	-99	1099951	
-281	39891	1272	39868	-99	1100039	36298	-100	1100053	38723	-100	1100067	37921	-98	1100080	
Err	Err	Err	39900	-99	1100107	36289	-100	1100121	38723	-100	1100067	38038	-94	1100142	
Err	Err	Err	39980	-99	1100169	36345	-101	1100183	38723	-100	1100067	37935	-95	1100204	
Err	Err	Err	39858	-101	1100231	36270	-101	1100245	38723	-100	1100067	37968	-99	1100266	
Err	Err	Err	39844	-101	1100291	36284	-102	1100305	38723	-100	1100067	37996	-96	1100326	
Err	Err	Err	39872	-100	1100354	36256	-100	1100367	38723	-100	1100067	37977	-96	1100389	
Err	Err	Err	39985	-98	1100418	36204	-100	1100431	38723	-100	1100067	38024	-97	1100452	
Err	Err	Err	39933	-99	1100479	36176	-101	1100493	38723	-100	1100067	37987	-97	1100514	
Err	Err	Err	39886	-100	1100541	36176	-101	1100493	38789	-100	1100563	37940	-97	1100577	
Err	Err	Err	39854	-101	1100604	36209	-101	1100617	38789	-100	1100563	38010	-96	1100639	
Err	Err	Err	39854	-101	1100604	36247	-105	1100674	38789	-99	1100688	37987	-96	1100701	
-1178	39494	-5563	39905	-99	1100729	36265	-101	1100743	38775	-98	1100756	38020	-96	1100770	
-1858	39793	-2747	39943	-99	1100796	36256	-100	1100809	38826	-97	1100823	38006	-97	1100836	
Err	Err	Err	39943	-99	1100796	36284	-100	1100878	38845	-97	1100891	38067	-98	1100905	
-1876	39791	-2920	39905	-99	1100932	36317	-100	1100946	38817	-97	1100959	38020	-97	1100973	
-3477	39761	-425	39835	-101	1101000	36345	-100	1101013	38836	-97	1101027	37987	-97	1101040	
Err	Err	Err	39835	-101	1101000	36350	-101	1101075	38817	-98	1101089	38024	-96	1101102	
Err	Err	Err	39835	-101	1101000	36317	-102	1101143	38836	-98	1101156	38034	-96	1101170	
-2498	39029	-7721	39849	-101	1101202	36298	-102	1101216	38798	-99	1101229	38052	-96	1101243	
Err	Err	Err	39849	-101	1101202	36298	-102	1101216	38770	-99	1101291	38024	-96	1101305	
Err	Err	Err	39849	-101	1101202	36298	-102	1101216	38803	-99	1101345	38010	-96	1101358	
Err	Err	Err	39849	-101	1101202	36298	-102	1101216	38761	-99	1101403	37968	-97	1101417	
Err	Err	Err	39830	-103	1101438	36298	-102	1101216	38789	-100	1101459	37977	-97	1101473	
Err	Err	Err	39802	-104	1101499	36298	-102	1101216	38789	-100	1101459	38038	-98	1101527	
