Anchor0, 0x6939, X: 0, Y: 0, Z: 0 
Anchor1, 0x6e7a, X: 0, Y: 5650, Z: 0 
Anchor2, 0x6e44, X: 4016, Y: 4605, Z: 0 
Anchor3, 0x6e6c, X: 1851, Y: 3230, Z: 896 


#### UWB SETTINGS ####
Ranging protocol: PRECISION
Channel: 5
Bitrate: 110 kb/s
PRF: 64 MHz
Preamble length: 1024 symbols
Gain: 11.5
######################


Misure in [mm] e [ms]

X1	Y1		Z1	time1	X2	Y2		Z2	time2	d
2382	5174	-104	926979	1413	5626	-7	926979	1074
2417	5131	-38	927148	1468	5566	-103	927148	1046
2485	4993	-111	927318	1515	5537	-63	927318	1113
2529	5007	-14	927492	1592	5526	-69	927492	1073
2581	4928	-46	927663	1598	5440	-114	927663	1110
2630	4909	6	927834	1697	5445	-18	927834	1076
2689	4873	57	928006	1737	5405	-67	928006	1098
2760	4768	-77	928178	1842	5433	-11	928178	1135
2796	4723	-39	928348	1866	5306	-192	928348	1108
2826	4663	129	928521	1925	5299	-65	928521	1120
2844	4596	85	928688	1963	5262	134	928688	1105
2816	4492	176	928861	1860	5207	240	928861	1196
2787	4364	72	929035	2032	5094	-61	929035	1059
2648	4228	118	929376	2077	5144	134	929376	1080
2660	4208	47	929547	2157	5130	111	929547	1052
2692	4139	100	929719	2178	5093	85	929719	1084
2682	4097	118	929891	2213	5067	13	929891	1083
2649	4006	78	930224	2294	4936	28	930224	997
2592	3961	81	930395	2257	4885	81	930395	983
2508	3884	109	930566	2285	4836	39	930566	980
2445	3810	99	930738	2312	4785	-16	930738	991
2442	3775	174	930907	2330	4741	30	930907	983
2387	3769	94	931075	2379	4719	55	931075	951
2432	3671	47	931245	2385	4649	24	931245	979
2474	3640	69	931418	2437	4741	278	931418	1121
2534	3640	174	931591	2425	4599	55	931591	972
2625	3858	464	931761	2463	4604	28	931761	879
2542	3546	118	931931	2474	4562	51	931931	1020
2489	3499	125	932270	2387	4478	37	932270	988
2475	3460	179	932439	2345	4424	54	932439	981
2457	3415	163	932784	2264	4345	92	932784	952
2447	3371	194	933118	2258	4317	92	933118	970
2481	3336	206	933290	2189	4292	56	933290	1011
2611	3429	228	933630	2152	4233	97	933630	935
2708	3406	201	933803	2133	4216	112	933803	997
2736	3456	183	933973	2116	4150	102	933973	934
2813	3491	203	934143	2046	4114	68	934143	997
2822	3429	112	934480	2021	4003	116	934481	985
2855	3598	157	934650	2049	3987	193	934650	896
2913	3658	185	934818	2014	3972	200	934818	952
3005	3707	185	934984	2017	3926	134	934984	1013
3033	3805	93	935155	2000	3950	159	935155	1045
3061	3971	115	935327	2019	3919	135	935327	1043
3093	4060	116	935498	2046	3888	88	935498	1061
3071	4137	77	935665	2092	3841	94	935665	1023
3118	4228	46	935836	2122	3853	148	935836	1069
3167	4337	56	936008	2178	3821	101	936008	1116
3198	4434	47	936358	2332	3880	118	936358	1030
3222	4539	119	936699	2363	3943	71	936699	1047
3185	4613	76	937046	2211	4152	204	937046	1085
3171	4584	176	937219	2146	4246	112	937219	1081
3240	4648	-248	937397	2070	4319	86	937397	1260
3725	4005	-115	937566	2078	4436	116	937566	1718
3182	4574	-94	937735	2114	4471	-4	937735	1077
3170	4472	221	937907	2064	4540	-46	937907	1140
3161	4427	131	938081	2058	4538	-176	938081	1150
3167	4405	15	938249	2098	4672	-124	938249	1111
3168	4361	-19	938421	2120	4762	30	938421	1123
3127	4373	-42	938590	2118	4829	-45	938590	1107
3097	4419	-133	938760	2103	4855	-73	938760	1087
3087	4421	-164	938932	2103	4891	-52	938932	1096
3120	4416	-98	939103	2098	4930	15	939103	1150
3071	4427	-146	939275	2104	4961	85	939275	1129
3123	4351	-65	939446	2108	4934	34	939446	1175
3063	4448	-161	939617	2120	4917	25	939617	1069
3127	4402	-153	939786	2149	4899	50	939786	1116
3144	4370	-92	939956	2164	4862	-17	939956	1099
3151	4420	-38	940124	2121	4875	34	940124	1128
3213	4411	173	940292	2113	4818	-7	940292	1187
3333	4468	41	940462	2126	4723	-58	940462	1238
3296	4590	-160	940632	2179	4710	165	940632	1169
3279	4698	-170	940800	2237	4656	335	940800	1159
3927	4109	351	940973	2233	4510	215	940973	1746
3240	4798	-37	941312	2370	4271	134	941312	1031
3254	4808	-91	941479	2411	4274	125	941479	1021
3244	4873	34	941648	2402	4269	137	941648	1041
3258	4767	-75	941819	2301	4310	65	941819	1070
3346	4869	-446	941989	2234	4419	185	941989	1355
3931	4055	105	942159	2189	4565	122	942159	1815
3844	4109	270	942336	2137	4715	275	942336	1811
3292	4584	-105	942507	2144	4695	-48	942507	1155
3174	4406	36	942845	2133	4745	-214	942845	1123
3014	4458	-97	943015	2117	4833	-118	943015	972
3039	4392	-261	943354	2090	5112	253	943354	1297
3015	4438	-503	943529	2072	5178	175	943529	1377
2907	4411	92	943701	2053	5215	85	943701	1173
2902	4542	17	944051	1974	5346	198	944051	1241
2825	4581	-17	944236	1849	5290	20	944236	1207
2720	4847	84	944570	1702	5368	132	944570	1145
2682	5004	294	944738	1175	5461	1045	944738	1745
2690	5250	388	944908	1469	5507	67	944908	1288
2498	5020	-84	945079	1470	5547	19	945079	1160
2458	5248	-17	945248	1347	5469	-196	945248	1147
2432	5299	-240	945420	1304	5482	-107	945420	1150
2440	5414	-113	945587	1151	5507	-53	945587	1294
2273	5480	-94	945755	1200	5584	-69	945755	1078
2186	5500	-18	945923	1033	5486	-74	945924	1154
2104	5470	-138	946095	1058	5427	-151	946095	1047
2038	5437	-298	946266	975	5439	154	946267	1155
1955	5494	-260	946437	871	5429	-4	946437	1116
1860	5575	-131	946604	362	5396	633	946604	1691
1676	5701	62	946944	635	5251	186	946944	1141
1419	5653	142	947288	534	5078	-18	947288	1067
1418	5551	-163	947456	482	4995	21	947456	1104
1569	5348	-725	947629	403	4909	96	947629	1492
1315	5441	-52	947802	306	4847	118	947802	1183
1181	5353	-182	947973	200	4793	121	947973	1170
978	5299	-128	948144	140	4696	-46	948144	1036
753	5266	-39	948482	16	4483	-241	948482	1094
605	5072	26	948829	-128	4315	-57	948829	1057
568	4868	43	949175	-332	3914	56	949175	1312
515	4754	59	949347	-468	3874	143	949347	1322
432	4728	-63	949515	-379	3973	-285	949515	1130
400	4692	-11	949686	-538	3887	48	949686	1237
164	4606	37	950034	-593	3625	-105	950034	1247
197	4564	-22	950207	-672	3422	-92	950207	1437
163	4418	-33	950377	-635	3442	-128	950377	1264
148	4314	111	950547	-678	3324	-120	950547	1310
84	4224	27	950716	-714	3295	-107	950716	1232
47	4075	-3	950887	-825	3297	66	950887	1171
11	4038	-152	951057	-883	3233	17	951057	1215
-65	4002	-185	951230	-921	3152	-28	951230	1217
-178	3953	-207	951402	-987	3046	125	951402	1260
-305	3757	-304	951746	-1045	2900	-158	951746	1142
-319	3563	-359	951918	-1101	2753	-147	951918	1146
-379	3495	-122	952088	-1123	2692	-178	952088	1096
-434	3407	-144	952258	-1167	2669	-140	952258	1040
-247	3148	-885	952603	-1288	2453	-165	952603	1444
-419	3156	-737	952775	-1386	2391	-13	952775	1430
-653	3345	-306	952947	-1384	2354	-43	952947	1259
-787	3133	-255	953117	-1369	2217	-144	953117	1091
-808	3160	-226	953287	-1417	2102	-42	953287	1235
-890	3081	-125	953460	-1409	2084	-156	953460	1124
-938	2882	15	953635	-1356	1961	-222	953635	1039
-916	2927	-321	953806	-1402	1834	-104	953806	1216
-1001	2841	-90	953979	-1497	1739	121	953979	1227
-1111	2788	19	954150	-1463	1716	-133	954150	1139
-1174	2700	28	954323	-1468	1647	-265	954323	1132
-1200	2683	-403	954491	-1481	1583	-209	954491	1152
-1254	2564	-424	954662	-1530	1476	139	954662	1256
-1296	2540	-314	954833	-1476	1420	-224	954833	1138
-1249	2428	-188	955002	-1396	1335	-278	955002	1107
-1220	2301	-210	955176	-1304	1232	-417	955176	1092
-1192	2318	-102	955348	-1335	1133	-265	955348	1205
-1209	2218	-267	955516	-1332	1077	-269	955516	1148
-1215	2106	-224	955687	-1196	1000	-560	955687	1156
-1325	1935	-96	955858	-1229	922	-404	955858	1063
-1098	1502	1446	956027	-1266	821	25	956028	1585
-1154	1419	1444	956199	-1194	816	-147	956199	1702
-1501	1824	-107	956372	-932	751	-575	956373	1302
