X [mm]	Y [mm]	Z [mm]	A0 	 RSS 	 Time 	 A1 	 RSS 	 Time 	 A2 	 RSS 	 Time 	 A3 	 RSS 	 Time 	 
332	2412	24	2298	-80	5457837	2743	-83	5457850	3975	-86	5457864	1624	-80	5457877	
335	2427	11	2312	-81	5458009	2725	-83	5458022	3961	-86	5458036	1629	-80	5458049	
355	2427	-25	2312	-80	5458181	2729	-83	5458195	3933	-86	5458208	1634	-80	5458222	
325	2408	30	2270	-80	5458353	2725	-83	5458366	3980	-85	5458380	1629	-80	5458394	
309	2432	27	2303	-81	5458525	2706	-82	5458538	3984	-86	5458552	1634	-80	5458565	
319	2433	-17	2317	-81	5458696	2720	-82	5458709	3970	-85	5458724	1657	-80	5458737	
346	2427	-17	2298	-81	5458869	2720	-83	5458884	3942	-86	5458897	1638	-80	5458911	
328	2445	0	2322	-80	5459040	2706	-83	5459053	3961	-86	5459067	1634	-80	5459080	
350	2449	-22	2322	-80	5459213	2696	-82	5459226	3928	-86	5459240	1629	-80	5459253	
0	0	0	2294	-81	5459384	2696	-82	5459226	3961	-86	5459413	1648	-80	5459426	
336	2421	24	2298	-80	5459557	2729	-83	5459570	3966	-86	5459584	1620	-80	5459597	
304	2407	33	2303	-81	5459728	2753	-82	5459741	4008	-86	5459755	1648	-80	5459768	
0	0	0	2308	-81	5459899	2753	-82	5459741	3989	-85	5459927	1634	-80	5459941	
333	2422	18	2298	-80	5460071	2725	-83	5460084	3966	-86	5460098	1624	-80	5460111	
344	2433	1	2308	-80	5460243	2715	-83	5460256	3947	-86	5460270	1620	-80	5460283	
351	2409	-18	2298	-80	5460415	2748	-83	5460428	3947	-86	5460442	1638	-80	5460455	
329	2408	15	2294	-80	5460587	2743	-83	5460600	3975	-86	5460614	1634	-80	5460627	
338	2408	-5	2303	-81	5460759	2753	-83	5460773	3966	-86	5460786	1643	-80	5460800	
314	2436	43	2317	-81	5460931	2711	-83	5460944	3984	-86	5460958	1620	-80	5460971	
335	2422	-55	2308	-81	5461103	2734	-83	5461116	3952	-86	5461130	1671	-80	5461143	
320	2424	37	2298	-81	5461274	2720	-83	5461288	3984	-86	5461302	1624	-80	5461315	
338	2405	11	2298	-80	5461446	2757	-83	5461459	3970	-86	5461473	1629	-80	5461486	
328	2413	9	2289	-81	5461618	2734	-83	5461632	3975	-86	5461645	1638	-80	5461659	
338	2421	-16	2298	-80	5461790	2729	-83	5461803	3956	-86	5461818	1643	-80	5461831	
344	2430	-27	2294	-81	5461962	2711	-83	5461975	3942	-86	5461989	1643	-80	5462002	
334	2426	14	2317	-80	5462127	2734	-83	5462141	3966	-86	5462154	1629	-80	5462168	
318	2420	10	2275	-80	5462315	2706	-83	5462328	3975	-86	5462342	1643	-80	5462357	
344	2429	1	2317	-80	5462487	2729	-83	5462500	3952	-86	5462514	1624	-80	5462527	
312	2425	-1	2294	-81	5462659	2715	-83	5462672	3980	-86	5462686	1652	-80	5462700	
313	2427	28	2303	-80	5462831	2720	-83	5462845	3989	-86	5462858	1634	-80	5462872	
324	2418	-8	2275	-81	5463018	2711	-83	5463031	3966	-86	5463045	1648	-80	5463058	
0	0	0	2280	-80	5463190	2743	-83	5463203	3966	-86	5463045	1643	-80	5463231	
328	2421	9	2317	-81	5463362	2743	-83	5463375	3975	-86	5463389	1638	-80	5463402	
321	2414	19	2280	-80	5463534	2725	-83	5463547	3980	-86	5463561	1634	-80	5463574	
319	2432	-2	2298	-81	5463705	2706	-83	5463718	3970	-86	5463732	1648	-80	5463745	
325	2436	0	2308	-81	5463877	2706	-83	5463890	3961	-86	5463904	1638	-80	5463917	
311	2441	27	2308	-80	5464049	2696	-83	5464062	3980	-86	5464076	1629	-81	5464089	
333	2422	18	2298	-80	5464221	2725	-83	5464234	3966	-86	5464248	1624	-80	5464262	
0	0	0	2303	-80	5464393	2725	-83	5464234	3966	-86	5464421	1657	-80	5464435	
328	2427	-11	2289	-80	5464565	2711	-83	5464578	3961	-86	5464592	1643	-80	5464605	
0	0	0	2289	-80	5464737	2711	-83	5464578	3942	-86	5464765	1643	-80	5464779	
0	0	0	2322	-81	5464909	2711	-83	5464578	3989	-86	5464937	1648	-80	5464952	
317	2434	8	2298	-81	5465081	2701	-83	5465095	3970	-86	5465108	1638	-80	5465122	
323	2405	21	2270	-80	5465252	2734	-82	5465265	3984	-85	5465279	1634	-80	5465292	
325	2428	-5	2284	-80	5465441	2701	-83	5465454	3961	-85	5465468	1648	-80	5465481	
326	2423	0	2275	-80	5465612	2706	-83	5465625	3966	-85	5465641	1638	-80	5465654	
321	2429	16	2298	-80	5465785	2711	-83	5465799	3975	-86	5465812	1634	-80	5465826	
338	2408	24	2266	-80	5465955	2725	-83	5465970	3966	-85	5465983	1620	-80	5465997	
338	2422	-4	2294	-80	5466127	2725	-83	5466140	3956	-86	5466154	1638	-80	5466167	
336	2428	31	2280	-80	5466299	2696	-83	5466312	3956	-85	5466326	1610	-80	5466339	
325	2422	-20	2303	-80	5466471	2729	-83	5466484	3966	-85	5466498	1657	-80	5466511	
334	2410	-5	2294	-80	5466643	2743	-83	5466656	3966	-86	5466670	1648	-80	5466683	
306	2433	17	2284	-80	5466815	2692	-83	5466828	3984	-86	5466842	1643	-80	5466855	
346	2418	6	2298	-81	5466986	2734	-83	5466999	3952	-85	5467013	1624	-80	5467027	
330	2422	11	2266	-80	5467158	2696	-83	5467171	3961	-86	5467185	1629	-80	5467198	
348	2401	-4	2275	-80	5467331	2743	-83	5467344	3952	-86	5467358	1634	-80	5467371	
327	2428	2	2280	-80	5467502	2696	-83	5467516	3961	-85	5467529	1638	-80	5467543	
335	2409	14	2298	-80	5467674	2748	-83	5467687	3970	-86	5467701	1629	-80	5467714	
316	2414	22	2289	-80	5467846	2734	-83	5467859	3989	-86	5467873	1638	-80	5467886	
306	2430	30	2289	-80	5468018	2696	-83	5468031	3989	-86	5468045	1634	-80	5468059	
305	2414	15	2284	-80	5468190	2725	-83	5468203	3994	-86	5468217	1652	-80	5468230	
336	2438	9	2303	-80	5468361	2701	-83	5468375	3952	-86	5468389	1624	-80	5468402	
322	2428	-29	2303	-80	5468533	2720	-83	5468546	3966	-86	5468560	1662	-80	5468575	
308	2426	6	2284	-80	5468705	2706	-83	5468718	3984	-86	5468732	1648	-80	5468745	
341	2410	-29	2294	-80	5468877	2748	-83	5468890	3956	-85	5468904	1652	-80	5468917	
338	2413	5	2289	-80	5469049	2734	-83	5469064	3961	-86	5469077	1634	-80	5469091	
0	0	0	2270	-80	5469221	2734	-83	5469064	3989	-86	5469249	1629	-80	5469263	
342	2410	9	2308	-81	5469393	2757	-83	5469406	3966	-85	5469420	1629	-80	5469433	
340	2436	-20	2303	-80	5469569	2706	-83	5469583	3942	-85	5469596	1638	-80	5469610	
352	2402	13	2308	-80	5469740	2772	-83	5469753	3961	-86	5469767	1620	-80	5469780	
0	0	0	2303	-80	5469912	2729	-83	5469925	3947	-86	5469939	1620	-80	5469780	
324	2403	-1	2284	-80	5470068	2748	-83	5470081	3980	-85	5470095	1652	-80	5470108	
334	2405	4	2280	-80	5470241	2734	-83	5470254	3966	-86	5470268	1643	-80	5470281	
329	2439	17	2294	-80	5470412	2687	-83	5470425	3956	-86	5470439	1620	-80	5470452	
0	0	0	2312	-80	5470584	2687	-83	5470425	3956	-86	5470612	1634	-80	5470626	
351	2444	-15	2312	-80	5470756	2696	-83	5470769	3928	-86	5470783	1624	-80	5470796	
305	2416	37	2308	-80	5470928	2743	-83	5470941	4003	-85	5470955	1638	-80	5470969	
0	0	0	2284	-80	5471099	2753	-83	5471112	3952	-85	5471126	1638	-80	5470969	
344	2402	-8	2275	-80	5471271	2743	-83	5471284	3956	-85	5471299	1643	-80	5471312	
331	2440	-6	2317	-80	5471443	2706	-83	5471456	3956	-86	5471470	1638	-80	5471483	
314	2418	21	2266	-81	5471615	2701	-83	5471629	3980	-86	5471642	1638	-80	5471656	
323	2409	15	2294	-81	5471788	2748	-83	5471802	3984	-86	5471815	1638	-80	5471829	
361	2433	-16	2317	-80	5471959	2725	-83	5471972	3928	-86	5471986	1624	-80	5471999	
328	2441	7	2298	-80	5472130	2687	-83	5472143	3956	-86	5472157	1629	-80	5472170	
325	2432	-5	2298	-80	5472303	2706	-83	5472317	3961	-86	5472331	1643	-80	5472344	
335	2418	1	2298	-81	5472474	2729	-83	5472487	3961	-86	5472501	1634	-80	5472514	
327	2414	36	2303	-80	5472647	2739	-83	5472660	3980	-86	5472674	1620	-80	5472687	
343	2413	3	2298	-81	5472818	2739	-83	5472831	3956	-86	5472846	1629	-80	5472860	
334	2410	36	2298	-80	5472990	2748	-83	5473003	3975	-85	5473017	1615	-80	5473030	
320	2435	5	2294	-80	5473162	2696	-83	5473175	3966	-85	5473189	1638	-80	5473202	
329	2426	0	2284	-81	5473334	2706	-82	5473347	3961	-85	5473361	1638	-80	5473374	
294	2411	47	2289	-80	5473521	2734	-83	5473534	4017	-86	5473548	1643	-80	5473561	
313	2444	8	2303	-80	5473693	2687	-82	5473707	3970	-85	5473720	1638	-80	5473734	
345	2430	-8	2294	-80	5473865	2711	-83	5473878	3942	-86	5473892	1629	-80	5473905	
376	2413	-40	2308	-81	5474038	2753	-83	5474051	3919	-85	5474065	1634	-80	5474078	
0	0	0	2280	-81	5474208	2753	-83	5474051	3966	-86	5474236	1643	-80	5474250	
336	2401	44	2294	-80	5474380	2757	-83	5474393	3980	-86	5474407	1615	-80	5474420	
340	2409	-12	2294	-81	5474552	2748	-83	5474566	3961	-86	5474579	1643	-80	5474593	
357	2428	-15	2308	-80	5474724	2725	-83	5474737	3933	-86	5474752	1624	-80	5474766	
312	2439	-4	2298	-80	5474896	2696	-83	5474909	3975	-86	5474923	1652	-80	5474936	
358	2431	-34	2312	-81	5475068	2725	-83	5475082	3928	-86	5475095	1638	-80	5475109	
345	2425	-5	2284	-80	5475241	2706	-83	5475255	3942	-86	5475268	1629	-80	5475282	
306	2423	41	2317	-81	5475412	2739	-83	5475425	4003	-86	5475439	1634	-80	5475452	
349	2413	-11	2284	-81	5475583	2734	-83	5475596	3947	-86	5475610	1634	-80	5475623	
302	2421	20	2289	-81	5475755	2720	-83	5475768	3999	-86	5475782	1648	-80	5475795	
334	2442	-12	2322	-81	5475927	2711	-83	5475940	3952	-85	5475954	1638	-80	5475967	
326	2424	4	2294	-80	5476100	2720	-83	5476113	3970	-85	5476127	1638	-80	5476140	
321	2434	13	2289	-81	5476271	2692	-83	5476284	3966	-86	5476300	1634	-80	5476313	
353	2432	-10	2294	-80	5476443	2706	-83	5476456	3933	-86	5476470	1620	-80	5476483	
0	0	0	2294	-80	5476615	2706	-83	5476456	4013	-86	5476643	1634	-80	5476657	
309	2438	34	2322	-81	5476786	2715	-83	5476799	3989	-86	5476813	1629	-80	5476826	
317	2411	43	2280	-80	5476958	2725	-83	5476971	3989	-86	5476985	1624	-80	5476998	
299	2444	31	2308	-80	5477131	2692	-83	5477144	3994	-86	5477158	1634	-80	5477171	
325	2426	11	2322	-81	5477302	2739	-83	5477315	3975	-86	5477329	1634	-80	5477342	
311	2434	15	2308	-80	5477474	2711	-83	5477487	3984	-86	5477501	1638	-80	5477514	
354	2416	-22	2284	-80	5477646	2729	-83	5477659	3938	-86	5477673	1638	-80	5477686	
342	2419	15	2284	-80	5477818	2720	-83	5477831	3956	-86	5477845	1620	-80	5477859	
327	2440	6	2289	-80	5477990	2682	-83	5478003	3956	-86	5478017	1629	-80	5478030	
332	2422	10	2289	-80	5478161	2715	-83	5478176	3961	-86	5478189	1629	-80	5478203	
325	2443	-32	2317	-81	5478333	2706	-83	5478346	3956	-86	5478360	1657	-80	5478373	
334	2424	0	2303	-80	5478505	2725	-83	5478518	3961	-86	5478532	1634	-80	5478545	
325	2437	12	2280	-80	5478677	2682	-83	5478690	3961	-86	5478705	1629	-80	5478718	
308	2569	-5	2280	-80	5478677	2701	-83	5478857	3947	-86	5478871	1638	-80	5478884	
338	2415	-30	2280	-80	5479020	2715	-83	5479034	3947	-86	5479048	1662	-80	5479061	
341	2412	1	2294	-80	5479194	2743	-83	5479207	3961	-86	5479221	1634	-80	5479234	
306	2450	18	2317	-80	5479364	2687	-83	5479377	3980	-86	5479391	1634	-80	5479404	
358	2412	5	2312	-80	5479538	2757	-83	5479553	3947	-86	5479567	1620	-80	5479580	
350	2410	-12	2322	-80	5479708	2767	-83	5479723	3956	-85	5479737	1638	-80	5479750	
326	2403	25	2289	-80	5479880	2748	-83	5479893	3984	-86	5479907	1634	-80	5479920	
334	2407	-3	2298	-80	5480052	2753	-83	5480065	3970	-86	5480079	1643	-80	5480092	
333	2425	-16	2298	-80	5480224	2720	-83	5480237	3956	-86	5480251	1648	-80	5480264	
357	2421	-21	2308	-80	5480396	2739	-83	5480409	3938	-86	5480423	1634	-80	5480436	
345	2421	0	2303	-80	5480567	2734	-83	5480580	3952	-86	5480594	1624	-80	5480607	
343	2414	-49	2317	-81	5480739	2757	-83	5480752	3952	-86	5480766	1666	-80	5480780	
312	2414	32	2308	-81	5480911	2748	-83	5480924	3999	-86	5480938	1638	-80	5480951	
337	2422	-3	2280	-81	5481083	2711	-83	5481096	3952	-86	5481110	1634	-80	5481123	
315	2417	39	2303	-80	5481255	2739	-83	5481269	3994	-86	5481283	1629	-80	5481296	
326	2442	43	2303	-80	5481427	2687	-83	5481440	3966	-86	5481454	1605	-80	5481467	
332	2436	-3	2289	-80	5481599	2692	-83	5481612	3952	-86	5481626	1634	-80	5481639	
322	2441	-23	2294	-80	5481770	2687	-83	5481783	3956	-86	5481799	1652	-80	5481812	
322	2429	-6	2308	-80	5481943	2720	-83	5481956	3970	-86	5481970	1648	-80	5481983	
330	2409	8	2303	-80	5482114	2753	-83	5482128	3975	-86	5482141	1638	-80	5482155	
339	2412	-3	2298	-81	5482287	2743	-83	5482301	3961	-86	5482314	1638	-80	5482328	
315	2444	13	2303	-80	5482458	2687	-83	5482471	3970	-86	5482485	1634	-80	5482498	
338	2418	-10	2289	-80	5482630	2725	-83	5482643	3956	-86	5482657	1643	-80	5482670	
334	2425	7	2327	-80	5482801	2743	-83	5482814	3966	-87	5482828	1629	-80	5482841	
307	2436	9	2327	-81	5482974	2725	-83	5482987	3989	-86	5483001	1648	-80	5483014	
337	2410	25	2294	-80	5483145	2743	-83	5483158	3970	-86	5483172	1624	-80	5483185	
332	2448	6	2331	-80	5483317	2701	-83	5483330	3952	-86	5483344	1624	-80	5483358	
324	2415	34	2275	-80	5483489	2720	-83	5483502	3980	-86	5483516	1620	-80	5483529	
331	2433	-14	2303	-81	5483661	2711	-83	5483674	3956	-86	5483688	1643	-80	5483701	
