2470	2762	5793	1712842	28691	28615	26186	0	0	0	3816	27696	28287	25736	2	542972
0	0	0	1712842	28691	28615	26186	0	0	0	3816	27696	28287	25736	3	565944
0	0	0	1712842	28691	28615	26186	0	0	0	3816	27696	28287	25736	3	590084
2484	2791	6041	1810170	28691	28662	26195	0	0	0	3816	27687	28287	25736	2	613068
0	0	0	1810170	28691	28662	26195	0	0	0	3816	27687	28287	25736	3	641012
2528	2754	5966	1858828	28709	28606	26167	0	0	0	3816	27706	28287	25736	2	662796
2415	2666	5618	1887974	28728	28634	26233	0	0	0	3816	27687	28287	25736	2	691976
2556	2763	6169	1917162	28747	28644	26158	0	0	0	3816	27668	28287	25736	2	722260
2531	2771	6134	1946393	28728	28653	26176	0	0	0	3816	27677	28287	25736	2	752588
2567	2785	6300	1975540	28737	28634	26176	0	0	0	3816	27696	28287	25736	2	781752
0	0	0	1975540	28737	28634	26176	0	0	0	3816	27696	28287	25736	3	810876
0	0	0	1975540	28737	28634	26176	0	0	0	3816	27696	28287	25736	3	832660
2471	2701	5731	2045970	28719	28653	26167	0	0	0	3816	27715	28081	25736	2	854440
2494	2774	6046	2075181	28756	28662	26176	0	0	0	3816	27734	28081	25736	2	883580
2515	2743	5798	2103087	28681	28587	26139	0	0	0	3816	27706	28081	25736	2	912744
2038	2262	88	2130240	28709	28653	26214	0	0	0	3816	27724	28081	25736	2	940712
0	0	0	2130240	28709	28653	26214	0	0	0	3816	27724	28081	25736	3	969752
2793	2292	114	2179862	28700	27837	25642	0	0	0	3816	27729	28071	25736	2	991424
0	0	0	2179862	28700	27837	25642	0	0	0	3816	27729	28071	25736	3	1016928
0	0	0	2179862	28700	27837	25642	0	0	0	3816	27729	28071	25736	3	1062888
2819	2271	101	2272292	28747	27846	25614	0	0	0	3816	27729	28071	25736	2	1085872
2840	2320	100	2297630	28691	27827	25586	0	0	0	3816	27710	28071	25736	2	1112624
2713	2696	98	2323870	28217	27856	25595	0	0	0	3816	27710	28071	25736	2	1139380
2663	2753	96	2351100	28142	27893	25623	0	0	0	3816	27673	28071	25736	2	1167268
2698	2689	94	2378351	28217	27865	25614	0	0	0	3816	27720	28071	25736	2	1195120
2675	2705	92	2405586	28189	27874	25632	0	0	0	3816	27691	28071	25736	2	1222944
2724	2723	92	2433243	28170	27818	25614	0	0	0	3816	27729	28137	25736	2	1250788
2728	2715	98	2458141	28189	27827	25586	0	0	0	3816	27701	28137	25736	2	1276304
2739	2732	2328	4513	28226	27856	25623	0	0	0	3773	27673	28053	25736	2	1305356
0	0	0	4513	28207	27874	25623	0	0	0	3783	27720	28109	25736	3	1330128
2748	2769	2236	4494	28170	27846	25595	0	0	0	3726	27673	28109	25736	2	1355784
2733	2757	2294	4504	28189	27846	25632	0	0	0	3736	27682	28109	25736	2	1406704
0	0	0	4504	28161	27884	25632	0	0	0	3736	27691	28109	25736	3	1432180
2747	2794	2282	4522	28170	27856	25567	0	0	0	3783	27701	28109	25736	2	1459668
0	0	0	4476	28207	27874	25567	0	0	0	3717	27691	28109	25736	3	1485184
2766	2807	2193	4513	28132	27809	25595	0	0	0	3745	27710	28109	25736	2	1512708
0	0	0	4513	28161	27846	25595	0	0	0	3792	27729	28142	25736	3	1538192
2757	2792	2204	4494	28161	27837	25567	0	0	0	3773	27729	28085	25736	2	1565036
2733	2779	2305	4513	28170	27856	25604	0	0	0	3783	27729	28085	25736	2	1591072
2736	2783	2287	4513	28179	27865	25586	0	0	0	3783	27691	28085	25736	2	1615372
0	0	0	4550	28161	27912	25586	0	0	0	3802	27682	28085	25736	3	1640852
2752	2799	2230	4522	28123	27799	25623	0	0	0	3811	27710	28095	25736	2	1668380
0	0	0	4550	28189	27912	25623	0	0	0	3802	27710	28095	25736	3	1694376
