0x6934_x	0x6934_y	0x6e1d_x	0x6e1d_y	0x6e7a_y

-3689		4606		-1923		2914		5875 

-3583		4285		-1785		2846		5863

3704		4605		1946		2905		5850
3634		4466		1861		2883		5860

-3687		4609		-1933		2921		5868

3583		4353		1793		2867		5886

-3671		4489		-1897		2884		5846

3596		4313		1783		2853		5868

3643		4466		1867		2883		5861

3693		4620		1956		2900		5843

-3660		4463		-1879		2878		5842

-3651		4465		-1879		2876		5853

-3630		4433		-1851		2870		5869

-3646		4461		-1868		2877		5859

3565		4274		1772		2845		5866

-3695		4607		-1927		2912		5870

-3616		4346		-1828		2849		5851

-3571		4271		-1763		2851		5883

3601		4322		1819		2836		5835

-3581		4262		-1766		2837		5862

-3709		4601		-1948		2909		5857

3697		4603		1954		2888		5830

3697		4604		1951		2895		5834

-3738		4746		-1998		2939		5853

-3688		4588		-1931		2901		5862

3711		4606		1953		2900		5838

-3580		4269		-1767		2849		5861

-3643		4447		-1867		2871		5859

-3697		4607		-1948		2896		5838

-3657		4455		-1891		2867		5849	




