Distanza: 65000.0
X [mm]	Y [mm]	Z [mm]	A0 	 RSS 	 Time 	 A1 	 RSS 	 Time 	 A2 	 RSS 	 Time 	 A3 	 RSS 	 Time 	 
36552	44241	-16122	53906	-88	553032	0	0	1705985	0	0	1705985	0	0	1705985	
Err	Err	Err	53906	-88	553032	48324	-85	553039	0	0	1705985	0	0	1705985	
37319	24392	30331	53868	-88	553066	48324	-85	553039	42429	-87	553046	38217	-85	553054	
40836	26267	25248	53868	-88	553066	48287	-85	553074	42466	-86	553081	38179	-85	553087	
38287	25006	28995	53906	-88	553097	48287	-84	553104	42429	-87	553111	38179	-85	553118	
41252	27082	24147	53943	-87	553159	48287	-85	553135	42504	-87	553142	38179	-85	553149	
37923	24595	29634	53943	-87	553159	48324	-85	553166	42429	-88	553174	38179	-85	553181	
38588	24954	28721	53906	-88	553191	48324	-84	553198	42429	-87	553205	38142	-84	553211	
37348	24352	30375	53981	-87	553222	48362	-84	553229	42429	-87	553235	38179	-84	553242	
37145	24244	30535	53868	-88	553255	48287	-85	553261	42466	-87	553268	38142	-84	553275	
40465	26547	25568	53943	-87	553286	48324	-84	553293	42466	-87	553299	38179	-85	553306	
39962	26036	26459	53831	-88	553317	48287	-85	553324	42466	-86	553331	38217	-84	553337	
38252	24880	29167	53981	-86	553348	48324	-86	553354	42429	-87	553361	38179	-85	553368	
38252	24880	29167	53981	-87	553378	48324	-84	553385	42429	-87	553392	38179	-86	553399	
37250	24281	30452	53906	-87	553410	48324	-83	553416	42429	-88	553423	38179	-86	553430	
40315	25860	26222	53943	-87	553471	48324	-85	553448	42466	-88	553454	38179	-85	553461	
37946	24200	29826	53906	-87	553502	48324	-85	553478	42429	-87	553484	38217	-85	553491	
37319	24392	30331	66176	-88	553533	48324	-85	553509	42429	-87	553516	38217	-85	553523	
42728	47992	12382	66176	-88	553533	48212	-85	553540	54764	-87	553547	38217	-85	553553	
39981	47796	-18418	66213	-89	553569	48212	-85	553576	54802	-87	553583	50721	-85	553590	
39514	47514	-19786	66251	-87	553628	48212	-85	553605	54802	-88	553612	50759	-84	553619	
