Distanza: 50000.0
X [mm]	Y [mm]	Z [mm]	A0 	 RSS 	 Time 	 A1 	 RSS 	 Time 	 A2 	 RSS 	 Time 	 A3 	 RSS 	 Time 	 
28402	34018	-2662	0	0	9963521	0	0	1705985	0	0	1705985	0	0	1705985	
29224	36163	-13577	49731	-91	313687	33024	-83	313694	39718	-88	313701	34263	-84	313708	
31960	37397	-1342	49656	-92	313716	32987	-83	313723	39675	-90	313730	34263	-85	313737	
31340	37626	-4177	49731	-90	313778	32949	-84	313753	39643	-90	313760	34263	-85	313767	
31178	36850	-8409	49731	-90	313808	33062	-84	313785	39638	-89	313792	34300	-83	313798	
31122	36896	-8371	49731	-90	313808	33024	-83	313815	39680	-89	313821	34300	-84	313828	
31420	37332	-5706	49731	-91	313868	32987	-83	313845	39680	-90	313851	34300	-84	313858	
31127	36971	-7763	49731	-91	313868	32987	-83	313875	39675	-90	313882	34263	-84	313889	
31122	36896	-8371	49694	-91	313928	33024	-83	313905	39680	-89	313912	34300	-84	313919	
31496	37608	-4280	49769	-90	313957	33062	-83	313935	39718	-89	313942	34263	-84	313949	
31045	36781	-8798	49656	-91	313987	33024	-83	313964	39643	-90	313971	34300	-84	313978	
31155	36737	-8470	49694	-93	314017	32987	-84	313994	39680	-89	314001	34300	-84	314008	
31747	37338	-4673	49694	-93	314017	33024	-83	314024	39675	-89	314031	34338	-85	314038	
31183	36988	-7418	49619	-94	314047	33024	-83	314054	39680	-89	314061	34263	-85	314068	
30731	36706	-9368	49544	-95	314077	33024	-83	314084	39680	-89	314091	34263	-85	314098	
31459	37384	-5152	49619	-94	314107	33024	-83	314114	39713	-89	314121	34263	-85	314128	
30979	36885	-8696	49694	-93	314168	32987	-83	314144	39718	-89	314151	34300	-85	314158	
31345	37536	-5291	49694	-93	314168	33024	-83	314174	39713	-89	314181	34300	-85	314188	
30935	37004	-7928	49610	-93	314198	32987	-83	314205	39718	-89	314212	34188	-86	314218	
31119	36988	-7812	49647	-93	314228	32949	-83	314234	39680	-89	314241	34225	-85	314248	
31177	37121	-7324	49685	-92	314258	32987	-83	314264	39750	-89	314271	34225	-86	314278	
29274	36147	-13539	49647	-92	314288	33024	-83	314294	39680	-89	314301	34225	-85	314308	
31108	36957	-8053	49685	-92	314316	33024	-82	314323	39718	-89	314330	34263	-85	314336	
31111	36897	-8247	49722	-90	314377	33024	-83	314354	39680	-88	314361	34263	-86	314368	
31173	37055	-7538	49722	-91	314408	32987	-84	314384	39713	-89	314391	34225	-86	314397	
31076	36994	-8041	49722	-91	314408	33024	-82	314414	39755	-88	314421	34338	-85	314428	
29468	36199	-13124	49685	-92	314466	33062	-83	314444	39675	-89	314451	34225	-87	314458	
31056	37290	-6907	49610	-93	314497	32987	-83	314474	39680	-89	314481	34263	-85	314488	
29179	36017	-13812	49722	-90	314526	33024	-84	314504	39680	-89	314511	34225	-86	314518	
29196	36101	-13833	49722	-90	314526	33024	-84	314533	39713	-89	314540	34263	-86	314546	
31070	36999	-7720	49647	-91	314585	33024	-84	314562	39680	-89	314569	34188	-86	314576	
29274	36147	-13539	49647	-91	314585	33024	-84	314592	39680	-89	314599	34225	-86	314605	
31167	37011	-7541	49647	-91	314615	32987	-83	314622	39680	-88	314629	34188	-87	314636	
29674	36401	-12256	49685	-92	314646	33024	-84	314654	39718	-89	314660	34188	-86	314667	
29803	36428	-12074	49685	-93	314676	33062	-84	314683	39718	-89	314689	34188	-86	314696	
30958	36896	-8473	49685	-91	314705	33057	-85	314714	39718	-89	314721	34263	-86	314727	
29319	36013	-13730	49722	-90	314765	33095	-84	314743	39600	-89	314750	34225	-86	314756	
31212	36837	-8124	49722	-89	314797	33057	-84	314774	39600	-88	314781	34225	-85	314787	
