Distanza: 70000.0
X [mm]	Y [mm]	Z [mm]	A0 	 RSS 	 Time 	 A1 	 RSS 	 Time 	 A2 	 RSS 	 Time 	 A3 	 RSS 	 Time 	 
Err	Err	Err	64975	-86	676262	46800	-85	676269	53972	-87	676247	49506	-85	676283	
38841	47438	-17712	64900	-86	676321	46762	-85	676298	53859	-87	676305	49469	-85	676312	
41077	48735	-9168	64900	-86	676321	46762	-85	676328	53859	-87	676334	49506	-84	676341	
38292	47217	-18926	64900	-87	676351	46687	-85	676358	53850	-86	676365	49469	-85	676371	
38815	47633	-17288	64863	-85	676409	46650	-84	676387	53812	-87	676394	49394	-85	676401	
38946	47505	-16877	64788	-87	676437	46650	-85	676416	53812	-87	676422	49356	-85	676429	
41012	49076	-6976	64788	-87	676437	46612	-84	676444	53737	-87	676451	49394	-84	676458	
40932	48899	-8305	64750	-87	676497	46575	-85	676474	53812	-86	676481	49356	-84	676487	
38965	47632	-16521	64712	-87	676526	46575	-85	676504	53775	-86	676510	49281	-85	676517	
38833	47417	-17169	64712	-87	676526	46575	-84	676532	53662	-86	676540	49244	-84	676546	
38378	47189	-18183	64712	-85	676584	46500	-85	676562	53662	-86	676568	49244	-85	676575	
38796	47451	-17004	64712	-85	676584	46500	-85	676591	53662	-85	676598	49206	-85	676604	
38119	47069	-18739	64637	-85	676613	46425	-86	676620	53624	-86	676627	49206	-85	676633	
38528	47311	-17736	64562	-87	676641	46462	-85	676648	53587	-86	676655	49169	-84	676662	
38465	47265	-17637	64562	-85	676700	46387	-85	676677	53587	-87	676684	49131	-85	676691	
38460	47118	-17924	64562	-85	676728	46387	-86	676706	53512	-87	676713	49094	-84	676720	
38439	47199	-17774	64525	-86	676758	46350	-84	676735	53549	-88	676742	49094	-85	676749	
38366	47211	-17781	64525	-86	676758	46312	-84	676764	53512	-87	676771	49056	-85	676778	
37993	46877	-18936	64487	-86	676815	46312	-85	676793	53437	-87	676800	49056	-84	676807	
38186	47036	-18112	64487	-86	676815	46275	-84	676822	53437	-88	676829	49019	-85	676836	
37831	46733	-19237	64375	-86	676845	46237	-84	676851	53362	-88	676858	48981	-84	676865	
38157	46857	-18459	64440	-86	676902	46237	-84	676880	53334	-88	676887	48943	-85	676893	
38205	46919	-18208	64440	-86	676902	46200	-84	676909	53296	-88	676916	48906	-84	676923	
38064	46908	-18347	64365	-87	676931	46162	-85	676938	53334	-88	676945	48906	-84	676951	
38287	46988	-17735	64257	-87	676989	46125	-84	676967	53259	-87	676974	48831	-84	676981	
37751	46649	-19143	64257	-87	677019	46087	-84	676996	53221	-87	677003	48831	-85	677010	
37954	46726	-18625	64257	-87	677019	46087	-85	677026	53184	-87	677032	48793	-84	677039	
37923	46648	-18704	64215	-87	677047	46050	-84	677054	53146	-87	677061	48756	-84	677068	
38241	46994	-17493	64220	-87	677076	46012	-84	677083	53184	-87	677090	48718	-85	677096	
38134	46868	-17733	64140	-88	677105	45974	-85	677112	53146	-87	677119	48681	-84	677125	
37186	46296	-20226	64107	-87	677134	45937	-84	677141	53071	-87	677147	48718	-84	677154	
38031	46817	-17895	64070	-87	677163	45937	-84	677169	53109	-87	677176	48643	-84	677183	
37747	46661	-18661	64107	-87	677192	45899	-84	677199	53071	-86	677205	48643	-84	677212	
38012	46660	-18124	64070	-86	677249	45937	-85	677227	53033	-87	677234	48606	-85	677241	
38106	46720	-17697	64070	-86	677249	45862	-85	677256	52958	-86	677263	48531	-84	677270	
38133	46872	-17423	64107	-87	677279	45824	-85	677286	52996	-86	677293	48531	-85	677300	
39949	47550	-12069	64032	-87	677309	45787	-85	677315	52958	-87	677322	48531	-84	677329	
37764	46559	-18426	63953	-87	677340	45787	-85	677347	52921	-87	677353	48493	-84	677360	
37513	46462	-18984	63920	-87	677370	45749	-85	677377	52921	-86	677384	48493	-84	677390	
37552	46316	-19029	63812	-86	677429	45759	-84	677406	52846	-86	677413	48456	-85	677419	
37020	46114	-20153	63812	-86	677429	45721	-86	677436	52883	-86	677443	48493	-84	677450	
37837	46591	-17915	63849	-87	677459	45684	-85	677465	52846	-87	677472	48381	-84	677479	
37508	46371	-18870	63774	-87	677519	45646	-86	677496	52808	-87	677503	48381	-84	677509	
37354	46308	-19155	63774	-87	677519	45646	-85	677526	52808	-86	677533	48381	-85	677540	
39881	47587	-11292	63774	-85	677549	45571	-86	677555	52808	-85	677562	48343	-84	677569	
37782	46506	-17926	63774	-87	677609	45571	-86	677587	52733	-87	677593	48268	-84	677600	
37059	46082	-19885	63699	-87	677640	45571	-85	677616	52733	-87	677623	48343	-84	677629	
37307	46230	-19036	63699	-87	677640	45534	-85	677647	52696	-87	677654	48268	-85	677660	
37457	46264	-18671	63662	-87	677701	45496	-86	677679	52621	-87	677685	48193	-84	677692	
37940	46488	-17301	63662	-87	677701	45534	-84	677707	52696	-85	677714	48193	-85	677721	
37865	46423	-17697	63662	-86	677730	45496	-85	677736	52621	-87	677743	48155	-85	677750	
37404	46193	-18503	63512	-87	677789	45421	-85	677765	52546	-86	677772	48118	-84	677779	
37235	46149	-18956	63549	-87	677819	45383	-85	677796	52583	-87	677802	48118	-85	677809	
37313	46150	-18864	63512	-87	677849	45421	-85	677826	52546	-87	677833	48118	-84	677840	
37250	46183	-18720	63549	-87	677879	45346	-86	677855	52546	-86	677862	48080	-85	677869	
37330	46156	-18667	63474	-87	677908	45346	-86	677886	52471	-88	677893	48043	-85	677899	
37528	46324	-17851	63399	-86	677938	45308	-86	677915	52499	-87	677922	48005	-85	677929	
37106	45888	-19340	63399	-87	677969	45308	-86	677945	52424	-87	677952	48005	-85	677959	
37438	46190	-18239	63437	-85	677998	45271	-85	677976	52461	-87	677982	47968	-85	677989	
37483	46293	-17913	63437	-85	677998	45233	-85	678005	52424	-87	678011	47930	-86	678018	
37131	45927	-19075	63324	-85	678057	45233	-85	678035	52349	-87	678042	47930	-84	678048	
36748	45919	-19588	63324	-85	678057	45158	-85	678064	52386	-88	678071	47930	-85	678078	
36369	45573	-20683	63287	-87	678086	45158	-85	678093	52311	-88	678099	47930	-86	678107	
37403	46115	-18000	63174	-87	678144	45158	-85	678122	52311	-87	678129	47818	-85	678135	
36927	45924	-18983	63212	-87	678173	45121	-86	678151	52349	-86	678157	47855	-85	678164	
37329	46172	-18024	63212	-87	678202	45121	-85	678180	52349	-86	678187	47818	-85	678194	
37710	46354	-16908	63174	-86	678233	45083	-85	678209	52311	-86	678218	47743	-84	678224	
37174	46041	-18103	63174	-86	678262	45046	-85	678240	52236	-87	678247	47743	-85	678253	
37750	46380	-16801	63174	-86	678262	45083	-84	678268	52236	-86	678275	47705	-84	678282	
36848	45855	-18986	63061	-87	678319	44971	-85	678297	52199	-87	678304	47705	-85	678311	
36784	45819	-19052	63061	-87	678319	44933	-85	678327	52161	-87	678334	47668	-84	678341	
36728	45804	-19217	63099	-87	678349	44933	-85	678356	52124	-87	678363	47668	-84	678370	
40186	47867	-3495	63019	-87	678410	44896	-85	678387	52086	-87	678394	47593	-84	678400	
37458	46098	-17219	63019	-87	678410	44886	-85	678416	52058	-87	678423	47522	-84	678430	
38190	46423	-15277	63057	-86	678439	44961	-84	678446	52058	-86	678453	47485	-84	678460	
37646	46141	-16651	63015	-87	678468	44849	-86	678475	51983	-87	678482	47447	-85	678488	
37697	46184	-16464	62869	-86	678527	44849	-85	678504	52020	-86	678511	47447	-84	678518	
37124	45752	-18083	62832	-86	678557	44774	-85	678534	51908	-86	678541	47410	-85	678548	
37228	45816	-17735	62827	-87	678587	44774	-85	678563	51870	-86	678570	47372	-85	678577	
37232	45794	-17636	62794	-87	678616	44736	-85	678593	51833	-87	678600	47335	-84	678607	
37558	45936	-16779	62714	-87	678646	44736	-85	678623	51833	-86	678629	47297	-84	678637	
37280	45712	-17455	62719	-87	678675	44699	-85	678652	51758	-86	678659	47260	-84	678666	
37110	45691	-17834	62719	-87	678704	44661	-84	678681	51758	-86	678688	47260	-83	678695	
37825	46103	-15429	62719	-87	678704	44661	-84	678711	51758	-86	678717	47185	-83	678724	
37488	45926	-16583	62639	-87	678733	44624	-85	678739	51758	-85	678746	47185	-83	678753	
37761	45996	-15605	62569	-88	678789	44586	-84	678768	51720	-86	678774	47110	-84	678781	
37600	45896	-16104	62606	-87	678818	44549	-84	678796	51645	-86	678802	47072	-84	678809	
37294	45681	-16938	62606	-87	678818	44511	-84	678824	51608	-86	678831	47072	-84	678838	
