r01		r02		r03		r10		r12		r13		r20		r21		r23		r30		r31		r32		
5961		5853		3549		5975		3928		3619		6002		3942		2524		3525		3609		2528		
5984		5862		3530		5979		3863		3605		5872		3891		2528		3549		3609		2556		
5989		5988		3507		5975		3919		3623		5984		3905		2524		3521		3619		2505		
5989		5998		3544		5984		3853		3628		5918		3905		2538		3497		3609		2495		
6002		5998		3535		5993		3966		3619		Err		3881		2524		3535		3609		2538		
5998		5918		3530		5961		3970		3605		6016		3938		2528		3516		3586		2542		
5970		5872		3521		5993		3900		3614		5918		3886		2500		3539		Err		2472		
5984		5933		3544		6007		3900		3623		Err		3900		2528		Err		Err		2500		
5989		5984		3521		5979		3895		3609		5900		3938		2533		Err		Err		Err		
5988		5881		3525		5975		3900		3600		5989		3909		2547		3516		3600		2547		
6007		5928		3544		5984		3942		3590		5909		3900		2514		3493		3614		2524		
5951		5829		3544		5970		3905		3595		5909		3933		2524		3521		3595		2505		
5975		5914		3521		5993		3886		3600		5904		3938		2519		3535		3623		2552		
5942		5886		3544		5989		3914		3609		5998		3923		Err		3502		Err		2514		
5993		5862		3549		6012		3914		3614		5900		3877		2538		3516		3600		2486		
5979		5862		3525		5970		3877		3628		5933		3905		2524		3497		3605		2593		
5975		5928		3553		5975		3905		3614		5848		3895		2547		3488		3633		2538		
5979		5914		3530		5965		3909		3609		Err		3905		2477		3544		3595		2514		
5993		5839		3521		5979		3923		3609		5937		3928		2519		3539		3586		2495		
6016		5998		3516		Err		3947		3614		5820		3863		2533		3549		3600		2514		
6049		5942		3548		6030		3895		Err		5979		3891		2505		3548		3590		2505		
6007		5988		3562		Err		3928		3614		5834		3928		2538		3521		3623		2519		
5984		5918		3511		6040		3877		3628		5947		3933		2561		3530		3628		2524		
6016		5942		3521		6021		3900		3619		5956		3909		Err		3521		3619		2500		
6007		5904		3553		5998		3905		3595		5909		3900		2696		3525		3614		2491		
6012		Err		3549		6021		3881		3614		5848		3942		2528		3539		3623		2481		
6002		5853		3525		6012		3900		3609		5895		3923		2505		3525		3595		2566		
6016		5947		3553		6035		3891		3600		5825		3895		2533		3530		3614		2561		
6007		5956		3553		5988		3914		3609		5886		3923		2491		3544		3651		2477		
6021		5858		3548		6030		3914		3600		5984		3895		2528		Err		3600		2509		
6016		5937		3539		6007		3909		Err		5895		3942		2500		3535		3605		2491		
6026		5876		3544		6044		3933		3605		5993		Err		Err		3525		3609		2509		
5989		5993		3544		5984		3895		3600		5904		3914		2528		3507		3605		2524		
5984		5951		3521		5993		3900		3600		Err		3900		2533		3521		3609		2509		
6021		5923		3511		5988		3900		3600		5881		3919		2509		3521		3637		2538		
6002		5909		3516		6021		3909		3633		6007		3905		2509		3525		3619		2524		
6007		Err		3516		5993		3914		3642		6002		3928		2542		3516		3600		2538		
6012		5965		Err		5988		3952		3605		5890		3923		2547		3535		Err		2538		
6002		5890		3525		6012		3952		3609		5984		3877		2500		3549		3600		2481		
6026		5848		3544		6012		3900		3605		Err		3905		2556		3539		Err		2505		
6012		5862		3548		6002		3909		3605		5900		3895		2519		3525		3619		2538		
5970		5872		3567		5993		3938		3595		5918		3909		2519		3511		3605		2505		
6021		5984		3548		5989		3919		3619		5923		3900		2491		3511		3619		2547		
6016		5853		3516		6007		3867		3614		5881		3952		2495		3507		3609		2509		
6002		5900		3507		Err		3900		3614		5895		3905		2505		3525		3619		2542		
5984		6026		3539		Err		3914		3633		5942		3872		2524		3493		3614		2552		
6012		5951		3525		6021		3914		3642		5858		3886		2528		3539		3586		2701		
5984		5979		3548		6007		Err		3619		5829		3886		2538		3525		3614		2491		
6012		5956		Err		5979		Err		3623		5918		3886		2570		3530		3595		2865		
6021		5937		3544		5993		3938		3590		5890		3881		2500		Err		3619		2519		
5988		5961		3511		5984		3900		3605		5979		3914		2547		Err		3605		2491		
6002		5947		3548		5979		3867		3609		5918		Err		2467		3544		3619		2505		
6016		5872		3521		6040		3923		3590		5928		3891		2542		3539		3623		2495		
5984		5965		3516		Err		3900		3619		5956		3891		2561		3525		3614		2519		
6007		6016		3544		5989		3895		3600		6021		3895		2561		3507		3609		2538		
6016		5923		3525		5988		3867		3600		5947		3909		2519		3521		3614		2533		
6021		5984		3544		6016		3928		3647		5918		3933		2556		3497		3614		2552		
5984		5862		3544		6044		3905		3609		5951		3952		2524		Err		3619		2514		
6035		5933		3530		6016		3942		3619		5853		3914		2514		3521		3623		2542		
