r01		r02		r03		r10		r12		r13		r20		r21		r23		r30		r31		r32		
6030		5867		3525		5988		3881		3633		5900		3914		2538		3539		3623		2524		
5965		5993		3549		5979		3933		3586		5858		3886		2524		3544		3609		2528		
6016		5993		3511		5993		3923		3600		5984		3877		2491		3507		3619		2481		
6016		5933		3549		5993		3909		3586		5890		3900		2495		3516		3609		2481		
5998		5937		3535		5998		3919		3605		5886		3905		2528		3521		3605		2556		
5998		5984		3553		5984		3947		3605		5956		3909		2711		3502		3619		2481		
5993		5965		3525		6012		3881		3614		5834		3914		2524		3521		3600		2552		
5979		5918		3539		5989		3900		3637		Err		3947		2509		3544		3628		2519		
6007		5928		3535		5993		3933		3619		5904		3914		2547		3535		3605		2477		
5993		5914		3530		6021		3881		3619		5918		3905		2547		3539		3605		2519		
6016		5918		3530		6021		3919		3605		5918		3900		2495		3539		3619		2547		
6035		5853		3553		6035		3900		3637		5904		3952		2514		3549		3609		2556		
6021		5956		3544		5984		3900		3609		5928		3919		2500		3576		3623		2706		
5989		5900		3549		6002		3886		3609		5815		3891		2556		3521		3614		2519		
5984		5829		3549		5984		3886		3642		5904		3877		2519		3535		3614		2607		
5984		5825		3539		6012		3942		3623		5900		3942		2505		3549		3605		2486		
6007		5876		3553		6030		3886		3609		5853		3895		2514		3516		3605		2528		
6007		5872		3544		5993		3914		3637		5904		3905		2533		Err		3623		2477		
5998		5858		3539		5988		3938		3600		5937		3938		2528		3521		3609		2524		
5998		5933		3516		5988		3905		3614		5839		3933		2514		3525		3614		2575		
6012		5843		3507		5975		3881		3605		5881		3928		2547		3516		3605		2514		
5979		5886		3544		Err		3881		3595		5918		3905		2505		3530		3623		2505		
6002		5829		3525		6054		3952		3609		5881		3895		2538		3525		3600		2519		
5979		5872		3539		6002		3900		3605		5848		3891		2566		3516		3614		2547		
5984		5933		3539		5975		3891		3609		5918		3909		2561		3535		3619		2524		
6016		5918		3539		5998		3886		3623		5970		Err		2528		3530		3609		2538		
6002		5881		3549		6002		3928		3600		5909		3914		2514		3516		3628		2552		
5984		Err		3567		5984		3853		3590		5881		3923		2495		3544		3605		2538		
Err		5867		3567		5984		3947		3633		5829		3872		2495		3544		3595		2547		
6021		5886		3521		6007		3895		3600		5928		3905		2509		Err		3623		2524		
5979		5900		3521		6035		3881		3619		5872		3867		2505		3535		3605		2519		
5998		Err		3535		5993		3891		3614		5834		3919		2552		3539		3619		2524		
5993		5843		3558		5970		3895		3642		5858		3919		2552		3562		3590		2528		
6012		5956		3544		5993		3914		3609		5881		3923		2491		3530		3581		2538		
6016		5928		3516		5984		3900		3595		5876		3942		2505		3530		3600		2509		
5993		5881		3539		5998		3877		3600		5867		3872		2500		3562		3619		2528		
5984		5876		3530		6030		3886		3605		5876		3914		2528		3567		3605		2528		
5993		5904		3535		6012		3891		Err		5886		3942		2533		3530		3609		2542		
5988		5881		3548		5984		3891		3623		5909		3928		2509		3535		3623		2519		
5989		5951		3539		5988		3886		3628		5937		3980		2514		3511		3609		2538		
6002		5853		3530		5989		3877		3595		Err		3891		2533		3549		3623		2570		
6007		5843		3544		5984		3905		3586		5886		3933		2491		3530		3609		2547		
5975		5965		3572		5989		3938		3628		5984		3905		2509		3530		3605		2491		
6016		Err		3572		6012		3966		3614		5951		3938		2542		3497		3628		2509		
6021		5933		3516		6012		3923		3595		5862		3933		Err		Err		Err		2524		
6007		5923		3544		6016		3938		3605		5886		3909		Err		Err		3590		2533		
5988		5918		3539		6054		3895		3576		5904		3914		2561		3544		3600		2538		
6049		5914		3539		6091		3872		3614		5951		3891		2514		3553		3586		2528		
5965		5989		3544		5956		3909		3605		5988		3872		2500		3553		3633		2556		
5979		5867		3562		6002		3881		3605		5965		3909		2509		3530		3628		2495		
5988		5848		Err		5993		3909		3605		5923		3872		2575		3535		3590		2659		
6054		5947		3576		6012		3891		3619		5881		3923		2528		3530		3590		2491		
6007		5918		3535		6026		3928		3614		5989		3914		2538		3511		3623		2509		
6030		5937		3544		6030		3881		3590		5904		3919		2509		3576		3586		2505		
6044		5918		3525		6021		3881		3609		5876		3923		2524		3521		3628		2500		
5998		5918		3549		6012		3952		3623		5900		3933		2505		3516		3605		2561		
6016		5970		3530		5988		3914		3609		5947		3914		2519		3539		3633		2509		
5988		5951		3525		6021		3881		3628		5890		3905		2538		3544		3609		2524		
5984		Err		3535		5984		3891		Err		5886		3942		2542		Err		3633		2575		
6030		5895		3525		6021		3881		3605		5834		3914		2570		3530		3595		2509		
6007		5951		3530		6016		3886		3623		5942		3938		2566		3502		3581		2509		
5988		5956		3553		5988		3928		3614		5914		3914		2514		3530		3619		2500		
6007		5890		3521		5984		3909		3614		5928		3891		2542		3544		3614		2495		
5993		5947		3548		6059		3881		3623		5918		3895		2505		3516		3605		2495		
6030		5956		3516		5984		3891		Err		5993		3895		2500		3549		3628		2524		
6002		5956		3544		6007		3914		3600		5928		3923		2477		3502		3614		2477		
6007		5961		3548		6016		3914		3637		Err		3923		2542		3544		3614		2500		
5979		5909		3572		5984		3886		3614		5937		3938		2491		3525		3633		2509		
Err		5947		3525		6021		3891		3614		5904		3877		2505		3525		3637		2514		
5984		Err		3549		6012		3938		3628		5988		3877		Err		3535		3623		2575		
5993		6021		3530		Err		3928		3605		5928		3900		2519		3497		3595		2514		
6030		5881		3525		6040		3933		3595		5937		3923		2524		3549		3623		2538		
6012		5886		3544		5989		3938		3623		5895		3867		Err		3549		3586		2524		
5998		5872		3521		6007		3853		3628		5886		3928		2509		3530		3600		2505		
6044		5825		3539		6002		3867		3600		5928		3886		2519		3530		3637		2505		
5998		5872		3525		5988		3863		3600		Err		3966		2491		3511		3628		2528		
5988		5928		3502		5975		3914		3619		5918		3877		2505		3516		3614		2524		
5988		5895		3535		6002		3919		3576		5886		3919		2538		Err		3605		2509		
6012		5942		3535		5998		3919		3609		5895		3909		2514		3530		3595		2509		
6035		5881		3525		5984		3928		3609		5928		3881		2477		3539		3609		2542		
6016		5909		3549		6002		3900		3605		5956		3858		2533		3521		3605		2477		
6012		5890		3548		6040		3909		3609		5895		3905		2505		3544		3628		2547		
5989		5951		3544		Err		3947		3590		5862		3905		2519		3553		3614		2528		
6026		5984		3548		6002		3919		3623		6044		3905		2533		3497		3623		2552		
6040		5904		3553		6049		3900		3590		5923		3881		2538		3535		3605		2552		
6068		5933		3507		5988		3933		3614		Err		3895		2509		3535		3656		2514		
6035		5876		3530		6035		3919		3637		5886		3914		2528		3516		3609		2509		
5989		5918		3525		6012		3877		3609		5890		3942		2495		3549		3614		2538		
5984		5909		3502		6007		3933		3609		5923		3909		2561		3544		3586		2519		
5984		5825		3516		6002		3886		3628		5900		3928		2538		3539		3619		2495		
Err		5876		3525		5979		3891		3600		5895		3900		2528		3502		3586		2505		
5988		5933		3530		5979		3942		3605		5970		3900		2524		3530		3623		2481		
5988		5970		3535		5979		3909		3614		5900		3938		2528		3516		3609		2505		
5998		5933		3521		5984		3919		3605		5820		3881		2528		3535		3600		2509		
5988		5947		3562		6002		3956		3581		5825		Err		2500		3511		3609		2524		
5998		5933		3544		5998		3891		3614		5862		3905		2547		3516		3637		2481		
5965		5872		3516		5961		3928		3628		5914		3900		2486		3502		3619		2472		
5989		5900		3525		5965		3909		3619		Err		3919		2528		Err		3600		2514		
5951		5909		3516		6016		3881		3614		5872		3891		2509		Err		Err		2528		
6002		5914		3548		5965		3900		3614		5904		3914		2533		3516		3609		2509		
5961		5900		3548		5975		3933		3605		Err		3923		2505		3525		3628		2874		
5956		5942		3553		5951		3891		3595		5975		3881		2547		Err		3595		2500		
6007		Err		3516		5988		3881		3605		5867		Err		2495		Err		3600		2514		
6002		5942		3507		5956		3909		3619		5876		3956		2552		3539		3590		2500		
Err		5928		3525		5956		3895		3619		5872		3867		2528		3507		3609		2524		
5961		5923		Err		5965		3900		3609		5867		3891		2538		3530		3614		2505		
5975		5937		3544		Err		3891		3600		5867		3923		2500		3516		3628		2528		
5988		5923		3511		Err		3919		3605		5947		3881		2509		3497		3581		Err		
5951		5829		3553		5979		3900		3614		5947		3909		2528		3539		3633		2533		
5988		5928		3488		6016		3895		3633		5890		3914		2495		3507		3605		2524		
5961		5909		3521		6040		3895		3609		5890		3914		2500		3516		3600		2528		
5988		5862		3521		Err		3881		3628		5937		3895		2528		3525		3595		Err		
5998		5867		3511		6007		3914		3614		5928		3905		2505		3530		3609		2528		
5988		5858		3525		5975		3933		3614		5890		3919		2575		Err		3609		2538		
5989		5914		3516		5988		3970		3600		5867		3886		2682		3516		3609		2509		
5961		5904		3530		5975		3933		3628		5961		3923		2538		3525		3600		2538		
5993		5918		3521		Err		3938		3614		5900		3942		2552		3544		3623		Err		
5993		5815		3548		5979		3938		3609		5858		3905		2519		3530		3590		2514		
5984		Err		Err		5970		3933		3633		5886		3881		2538		3549		3614		2547		
5961		5853		3525		5984		3867		3623		5876		3933		2500		3530		3576		2528		
6002		5988		3544		5984		3877		3637		5867		3914		2566		3544		3637		2514		
5984		5886		3511		5970		3905		3595		Err		3928		2547		3516		3600		2477		
6021		5890		3539		5984		3895		3623		5853		3938		2519		3539		3605		2505		
5961		Err		3502		5979		3942		3623		5918		3928		2579		3544		3590		2491		
5979		6002		3521		5947		3886		3609		5984		3909		2509		3544		3614		2524		
6026		5979		3511		5965		3914		3609		5904		3952		2575		3516		Err		2495		
5979		5918		3549		5975		3872		3651		5909		3863		2552		3521		3609		2500		
6026		5801		3539		5989		3877		3605		Err		3933		2500		3544		3605		2528		
5993		5984		3535		5984		3952		3637		Err		3914		2481		3511		3609		2505		
5984		5942		3530		5984		3942		3605		5933		3891		Err		3516		3656		2514		
5989		5942		3525		5988		3900		3623		5900		3947		2495		3558		3619		2514		
6002		5923		3544		5965		3914		3600		5890		3900		2645		3511		3633		2524		
5951		5872		3530		5984		3895		3586		5918		3923		2491		3535		3614		2519		
5979		5904		3516		5965		3942		Err		5928		3891		2491		3511		3614		2533		
5998		5933		3525		Err		3914		3623		6002		3914		Err		3507		3605		2533		
5989		5970		3548		5956		Err		3605		5928		3956		2491		3539		3595		2509		
6012		5928		3567		5984		3891		3619		5979		3919		2547		3507		3609		2481		
5993		5937		3516		5984		3886		3614		5848		3914		2552		3488		3605		2542		
5984		5923		3539		5993		3933		3609		5881		3909		2561		3549		3628		2528		
5989		5895		3548		5988		3900		3656		5900		3914		Err		3530		3586		2524		
6030		5867		3549		6012		3923		3647		5993		3900		2477		3502		3623		2575		
5998		5933		3521		6021		3909		3609		5848		3942		2491		3549		3600		2500		
6026		5900		3567		5988		3909		3572		5876		3938		2495		3539		3614		2519		
6002		Err		3535		6002		3886		3619		6026		3923		2477		3516		3609		2547		
5998		5881		3530		6035		3895		3614		5937		3891		2561		3507		3605		2524		
5993		5918		3525		5998		3919		3600		5867		3895		2528		3521		3609		2500		
5984		5923		3535		6002		3923		3623		5965		3909		2514		3502		3614		2533		
5989		5923		3539		5998		3933		3590		5876		3923		2533		3544		3600		2542		
5993		5918		3549		5989		3909		3614		5947		Err		2519		3525		3609		2533		
5984		5881		3544		6016		3914		3614		5909		3895		2495		3521		3614		2883		
5988		5984		3516		5970		3895		3605		5886		Err		2547		3535		3595		2528		
5975		Err		3549		6026		3956		3605		5942		3909		2547		3535		3590		2509		
5998		5984		3535		6021		3938		3619		5862		3914		2486		3530		3619		2528		
6040		5937		3511		5993		3886		3623		5918		3914		2477		3521		3595		2528		
Err		5843		3548		6012		3961		3605		5862		3914		2533		3553		3605		2552		
5984		5890		3530		6026		3928		3595		5937		3923		2552		3507		3586		2509		
6007		5970		3521		6030		3891		3637		5947		3867		2570		3502		3642		2495		
6049		5984		3530		5998		3938		3619		5993		3914		2538		3502		3619		2879		
5984		5984		3535		5988		3891		3619		5961		Err		Err		3567		3586		2505		
6012		5933		3521		6016		3877		3633		5918		3867		2495		3507		3614		2495		
5970		5947		3525		5989		3914		3637		5975		3933		2524		Err		3619		2519		
6012		5904		3539		5984		3900		3628		5872		3891		2538		3497		3605		2575		
5989		5839		3516		5993		3961		3605		5951		3886		2561		3553		3637		2561		
5970		5872		3548		5970		3895		3614		5961		3928		2528		3549		3623		2500		
5965		5853		Err		5993		3891		3600		5895		3872		2542		3516		3605		2542		
6007		5979		3544		6012		3923		3651		5895		3905		2561		3497		3590		2528		
6021		5914		3544		5988		3933		3609		Err		3956		2524		3525		3600		2524		
5998		5965		3539		6035		3938		3623		5825		3900		2542		3525		3605		2538		
5965		5937		3544		5979		3891		3619		5928		3863		2561		3530		Err		2524		
5979		5918		3549		5984		3919		3600		5961		3905		2706		3548		3623		2472		
5975		5881		3530		5970		3900		3600		5867		3905		2514		3525		3600		2509		
5998		5923		3502		6007		3872		3605		5895		3938		2519		3535		3600		2500		
6016		5848		3544		6007		3919		Err		5867		3881		2514		3502		3619		2542		
5988		5965		3521		5988		3877		3614		5909		3938		2528		3507		3600		2542		
5975		5942		3549		5998		3867		3609		5839		3909		2491		3548		3590		2547		
6007		5961		3525		5984		3909		3614		5876		3956		2542		3502		3590		2874		
5989		5876		3544		5965		3909		3623		5900		3905		2538		3488		3619		2528		
6026		5867		3521		6026		3895		3623		5904		3919		2528		3539		3614		2547		
5965		5970		3539		5984		3886		3623		5858		3928		2505		3549		3600		2505		
5975		5923		3521		5984		3961		3614		Err		3928		2524		3535		3614		2505		
5989		5886		3525		5993		3919		3623		5876		3900		2528		3544		3628		2533		
6012		5890		3521		6026		3923		3600		5993		3881		2556		3521		3600		2533		
6026		5937		3521		5984		3928		3633		5918		3914		2538		Err		3619		2524		
5984		5853		3548		5984		3891		3628		5942		3961		2552		3502		3614		2547		
5998		5998		3549		5984		3914		3633		5881		3914		2495		3539		3595		2524		
5988		5989		3544		6002		3905		3595		5886		3914		2509		Err		3628		2505		
5984		5881		3525		6007		3905		3628		5914		3923		2538		Err		3605		2514		
5988		5900		3516		5989		3938		3623		5904		3928		2509		3502		3619		2495		
5989		5909		3502		6021		3877		3595		5918		Err		2486		Err		3600		2533		
5993		5895		3507		5993		3891		3614		5942		3900		2514		3507		3623		2538		
6026		5928		3539		6026		3923		3614		5975		3928		2547		3521		3609		2552		
6007		5965		3544		5993		3900		3590		5895		3909		2519		3549		3586		2481		
6021		5984		3544		6044		3891		3609		5923		3891		2519		3535		3609		2547		
5979		5942		3539		6012		3938		3656		5918		3914		2491		3516		3614		2542		
6016		5914		3544		5970		3923		3619		5942		3933		2524		3544		3637		2500		
6026		5909		3516		5989		3905		3619		5975		3914		2552		3521		3628		2500		
6002		5933		3539		5975		3895		3586		5975		3909		2519		3502		3600		2514		
5970		5811		3539		5988		3933		3605		5937		3895		2538		Err		3600		2491		
5979		5975		3521		5979		3914		3595		5872		Err		2524		3549		3605		2547		
5984		5872		3544		5988		3914		3614		Err		3914		2491		3535		3609		2673		
6012		6002		3530		5993		3905		3633		Err		3952		2519		3530		3605		2528		
5956		5951		3562		5989		3923		3600		5904		3895		Err		3539		3623		2500		
5984		5900		3521		5979		3881		3661		5848		Err		2491		3511		3595		2514		
5979		5872		3539		5979		3952		3600		5900		3909		2509		3525		3605		2467		
5975		5951		3521		5975		3891		3614		5928		3900		2547		3525		3600		2533		
5984		5886		3544		5988		3938		3628		5876		3909		2509		3558		3623		2528		
5975		5848		3511		5984		3909		3619		5839		3942		2668		3530		3619		2538		
5993		5829		3511		5993		3900		3595		5858		3956		2528		3516		3628		2533		
5998		5872		3521		5984		3905		3633		5872		3881		2538		3553		3619		2509		
5998		5843		3535		6030		3914		3623		5872		3895		2514		3530		3600		2519		
6030		5989		3539		6016		3895		3600		5895		3895		2519		3502		3623		2509		
5984		Err		3507		5979		3895		3628		5947		3895		2556		3521		3614		2509		
5947		5928		3521		6012		3905		3619		5895		3900		2519		3521		3623		2524		
5979		5942		3562		Err		Err		3614		5914		3877		2519		3548		3600		2528		
5993		5937		3525		5984		3900		3628		5909		3961		2514		3483		3614		2533		
6007		5914		3525		Err		3863		3609		5979		3919		2556		3530		3637		2500		
6026		5928		3544		5998		3928		3614		5942		3900		2561		3516		3628		2524		
5998		5937		3525		5975		3942		3619		5918		3933		2542		3521		3605		2556		
Err		5890		3525		5989		3900		3595		5886		3909		2500		3525		3605		2519		
5998		5862		3558		6021		3900		3600		5918		3886		2519		3544		3609		2519		
6049		5890		3544		6026		3867		3600		5914		3891		2500		3525		3623		2547		
6016		5914		3544		6021		3905		3609		5900		3891		2533		3544		3605		2519		
6035		5867		3535		6044		3947		3600		5933		3919		2509		3516		3619		2542		
5984		5876		3535		6026		3895		3600		5872		3881		2552		3525		3586		2524		
Err		5876		3544		6026		3914		3647		Err		3895		2552		3511		3586		2519		
5970		5853		3544		5970		3933		3609		5872		3895		Err		Err		3609		2561		
5989		5947		3521		5970		3895		3609		5942		3867		2524		3530		3623		2561		
5988		5881		3539		5975		3952		3605		5909		3947		2514		3507		3619		2542		
5988		5886		3521		5988		3928		3609		5881		3942		2528		3549		3600		2570		
6012		5947		3549		5989		3895		3619		5867		3947		2528		3553		3647		2519		
5989		5928		3521		5984		3942		3614		5886		3923		2603		3497		3619		2533		
5975		5834		3516		5988		3877		3633		5890		3919		2542		3535		3609		2528		
5965		5900		3521		6012		3895		3623		5881		3933		2519		3549		3609		2528		
5970		5909		3549		6002		3928		3609		5876		3909		2556		3511		3619		2528		
5965		5839		3516		5993		3905		3614		5988		3905		2538		3535		3619		2528		
5989		5853		3511		6026		3909		3595		5886		3914		2477		3535		3628		2524		
5979		5820		3535		5956		3905		3605		Err		3923		2542		3511		3600		2509		
5984		5820		3558		5993		3914		3619		5928		3919		2542		3544		3609		2533		
5975		Err		3507		6002		3886		3623		5895		3872		2505		3525		3605		2547		
5965		5867		3544		Err		3900		3600		Err		3928		2533		3535		3614		2538		
5965		5853		3535		5979		3886		3609		Err		3895		2486		3521		3600		2500		
5993		5965		3525		6007		3905		3605		5867		3900		2519		3549		3619		2542		
6002		5881		3535		6026		3914		3595		Err		3886		2509		3525		3605		2519		
5998		5848		3521		6044		3891		3628		5904		3942		2575		3530		3605		2547		
6030		5843		3525		6002		3919		3609		Err		3900		2519		3525		3619		2500		
6007		5895		3530		6026		3961		3605		5872		3914		2561		3507		3633		2528		
6016		5918		3544		6007		3891		3590		5909		3947		2533		3497		3605		2519		
6007		5900		3544		5984		3919		3595		5909		3900		2566		Err		3619		2514		
Err		5937		3525		5979		3895		3614		5937		3891		2528		3511		3619		2463		
6026		5853		3497		6026		3886		3651		5867		3891		2538		3507		3623		2547		
5998		5890		3525		6012		3919		3595		5886		3914		2509		3535		3623		2556		
6026		5867		3521		6026		3919		3623		5858		3872		2500		Err		3633		2477		
5993		5886		3525		5979		3909		3581		5881		3919		2519		3525		3651		2500		
5993		5914		3530		5984		3886		3623		5928		3923		2570		3521		3595		2514		
6021		5947		3544		6007		3942		3605		Err		3923		2552		3507		3605		2552		
5998		5881		3497		6044		3895		3600		5867		3877		2509		3549		3628		2509		
5993		5881		3535		5998		3891		3619		5900		3914		2542		3525		3614		2528		
5984		5848		3516		5998		3909		3600		5956		3895		2528		3516		3595		2519		
5988		5947		3502		6016		3900		3609		5900		3938		2509		3507		3605		2509		
6030		5825		3521		6016		3933		Err		5918		3881		2495		3525		3614		2519		
6002		Err		3507		5984		3881		3600		5928		3891		2481		3525		3609		2552		
6035		5881		3535		6016		3881		3581		5881		3919		2524		3497		3642		2519		
5984		5853		3525		6016		3919		3595		5947		3895		2509		3530		3633		2528		
5998		5886		3530		6002		3919		3600		5876		3928		2542		3511		3605		2552		
5988		5914		3516		5998		3900		3581		5947		3891		2538		3525		3605		2538		
6002		5876		3535		6030		3905		3609		Err		3923		2524		3539		3614		2519		
6012		6002		3521		6016		Err		3605		Err		3928		2514		3525		3619		2538		
6016		5933		3502		6021		3928		3595		5928		3914		2509		3521		3623		2556		
6002		5928		3549		Err		3877		3600		5876		3909		2524		3530		3614		2528		
6007		5900		3525		6035		3881		3600		5923		3914		2519		3516		3623		2477		
6002		5947		3544		6021		3891		3619		5876		3947		2491		3502		3586		2542		
6030		5862		3535		6063		3956		3605		Err		3933		2514		3525		3614		2509		
5993		5900		3521		5998		3895		3633		5872		3891		2538		3511		3623		2528		
6021		5876		3535		5984		3848		3614		5923		3919		2528		3502		3633		2509		
5989		5858		3502		5984		3919		3614		5961		3919		2505		3516		3605		2524		
5998		5890		3521		6040		3909		3605		5895		3881		2528		Err		3590		2533		
6040		5886		3521		6026		3919		3576		5904		3881		2505		3549		3595		2509		
6012		5881		3562		6026		3895		3586		5918		3891		2533		3525		3605		2524		
5993		5923		3539		6040		3891		3628		5886		3905		2533		3535		3600		2505		
5988		5933		3530		6035		3938		3600		5895		3933		2495		3544		3609		2514		
5989		5867		3502		6021		3909		3619		Err		3900		2463		3502		3614		2561		
6040		5937		3539		5988		3928		3623		5928		3891		2500		Err		3609		2533		
6044		5900		3548		6021		3895		3614		5923		3919		2514		3525		3605		2533		
5998		5881		3544		6044		3952		3595		5834		3928		2533		3539		3609		2486		
5998		5979		3530		6021		3956		3642		5923		3923		2570		3530		3633		2491		
6021		5900		3497		5998		3928		3576		Err		3891		2547		3553		3619		2524		
6016		5872		3507		Err		3895		3619		5867		3984		2528		3516		3605		2495		
5998		5933		3507		6016		3895		3628		5843		3867		2481		3535		3600		2519		
6002		5890		3530		6002		3905		3633		5876		3895		2524		3511		3605		2481		
Err		5890		3521		5989		3895		Err		5848		3938		2500		3539		3600		2528		
6007		5904		Err		5998		3891		3651		5937		3909		2528		3539		3637		2524		
6016		5839		3521		5998		3881		3614		5886		3933		2542		3511		3590		2495		
6030		5900		3572		5993		3919		3595		Err		3961		2477		3539		Err		2561		
5989		5904		3539		6068		3900		3623		5937		3914		2556		3525		3595		2533		
Err		Err		3530		6016		3933		3628		5895		3938		2538		3539		3605		2547		
6054		5947		3535		6073		3938		3609		5886		3947		2556		3516		3609		2538		
6007		5914		3535		6012		3905		3614		5918		3942		2538		3553		3623		2514		
5979		5937		3525		5993		3919		3614		5933		3942		2533		3535		3605		2519		
5956		5937		3544		5970		3886		3572		5895		3891		2495		3521		3609		2514		
5961		5895		3535		5956		3933		3600		5890		3938		2509		3539		3605		2519		
5979		5965		3525		5951		3900		3619		5862		3863		2547		3530		Err		2500		
5993		5909		3525		5993		3905		3628		5862		3923		2556		3511		3609		2552		
5989		5876		3548		6016		3914		3586		5881		3867		2509		3530		3605		2547		
5970		5881		3525		Err		3895		Err		5872		3919		2491		3539		3628		2547		
5984		5895		3535		5984		3905		3619		5881		3891		2593		3511		3623		2509		
5984		5876		3544		5984		3923		3619		Err		3923		2524		3535		3567		2538		
5993		5942		3548		5984		Err		3614		Err		3895		2519		3549		3605		Err		
Err		5862		3525		5998		3891		3609		5937		3905		2528		3516		3614		2505		
6007		5904		3530		5998		3891		3619		5914		3914		2528		3539		3605		2519		
6007		5984		3558		6044		3895		3609		5933		3891		2552		3516		3614		2505		
6040		5862		3516		6040		3938		Err		5872		3919		2519		3553		3623		2519		
6021		5867		3539		6021		3886		3600		5881		3933		2566		Err		3619		2542		
6007		5820		3530		6021		3900		3605		5876		3867		2481		3525		3595		2533		
6026		5900		3516		Err		3891		3619		5843		3923		2524		3544		3595		2538		
6035		5928		3530		Err		3923		3651		5881		3914		2542		3548		3595		2524		
6007		5890		3507		5989		3895		3609		5942		3928		2505		3525		3628		2514		
6016		5923		3553		5993		3942		3605		5937		3923		2477		3553		3623		2514		
5988		5988		3521		5979		3928		Err		5858		3914		2552		3507		3619		2519		
5984		5947		3497		5970		3909		3661		5904		3909		2556		3544		3600		2524		
6035		5984		3535		6021		3928		3609		5951		3900		2533		3544		3605		2528		
5984		5923		3544		5984		3886		3647		5998		3872		2533		3525		3614		2519		
5993		5918		3497		6007		3933		3590		5895		3919		2524		Err		3614		2505		
5993		5904		3497		5984		3970		3623		5900		3877		Err		3544		3600		2538		
5984		5918		3539		5998		3863		3609		5933		3858		2472		3521		3609		2673		
5984		5890		3553		5984		3905		3609		5900		Err		2519		3530		3600		2533		
5993		5862		3567		5984		3895		3619		Err		3886		2495		3549		3623		2547		
6026		5895		3493		6002		3905		3619		5923		3919		2538		3548		3590		2486		
6007		5928		3530		5979		3928		Err		5895		3938		2509		3544		3600		2519		
Err		5984		3530		6007		3942		3623		5904		3881		2561		3521		3581		2547		
6026		5965		3558		5989		3923		3609		5890		3919		2514		3544		3595		2519		
Err		5848		3544		6026		3914		3609		5900		3952		2495		3525		3614		2514		
6021		5965		3558		6035		3909		3633		5984		3909		2524		3525		3623		Err		
6044		5876		3535		6007		3905		3614		5961		3891		2547		3521		3609		2524		
6012		5909		3530		5998		3909		3590		5956		3938		2519		3525		3605		2547		
6002		5923		3549		5988		3938		3619		5984		3914		2533		3544		3623		2509		
6030		5933		3544		5993		Err		3623		5933		3933		2538		3525		3609		2538		
6073		5947		3544		6040		3867		3619		5900		3928		2538		3516		3614		2538		
6044		5886		3493		6035		Err		3623		5876		3909		2528		3539		3623		Err		
6030		5843		3530		6021		3900		3600		5914		3900		2566		3525		3586		2528		
6007		5815		3539		6012		3914		3614		5914		3923		2547		3530		3595		2524		
6016		5881		3530		5998		3952		3609		5858		3909		2528		3530		3605		2538		
5993		5937		3581		6007		3872		3609		5914		3900		2514		3539		3623		2552		
5993		5886		3521		6063		3895		3619		5970		3881		2514		3516		3619		2556		
6021		5895		3553		6091		3900		3609		5909		3900		2519		3497		3595		2593		
6016		5923		3530		6021		3909		3605		5904		3867		2514		Err		3633		2500		
6016		5900		3549		6002		3947		3595		5876		3891		2542		3544		3623		2495		
5984		5914		3516		6012		3905		3619		5900		3914		2552		3516		3595		2500		
6040		5933		3516		5998		3923		3595		5918		3942		2547		3525		3633		2495		
6012		5933		3521		5979		3938		3623		5961		3914		2519		3548		3619		2509		
5993		5914		3549		5979		3914		3600		5904		3928		2505		Err		3614		2505		
5993		5914		3549		6016		3938		Err		5904		3909		2556		3567		3614		2533		
5993		Err		3544		5984		3867		3600		5904		3891		2874		Err		3609		2481		
5998		5886		3544		5984		3881		3614		5989		3914		2556		3502		3605		2491		
5988		5933		3535		5984		3909		Err		5890		3909		2495		3507		3633		2509		
6044		5895		3572		6030		3891		3628		5984		3952		2528		3544		Err		2561		
6035		5820		3539		5984		Err		3619		5900		3881		2547		Err		3647		2505		
6030		5876		3544		6002		3909		3614		5900		3895		2481		3516		3633		2509		
5998		5890		3576		5988		3905		3642		5951		3933		2547		3516		3619		2542		
5988		5951		3553		5998		3905		3642		5942		3914		2509		3548		3609		Err		
6035		5956		3549		6002		3909		3614		5933		3900		2542		3530		3614		2524		
5979		6035		3544		5989		3909		3609		5965		3905		2505		3530		3619		2509		
5993		5914		3558		5984		3914		3628		5947		3895		2538		3539		3633		2566		
5988		5914		3549		5988		3891		Err		5928		3886		2547		3586		3590		2519		
6002		5900		3549		5988		3895		3623		5984		3895		2528		3558		3609		2538		
Err		5895		3544		6007		3919		3651		5914		3863		2505		3511		3614		2561		
5988		5886		3544		5979		3905		Err		5989		3895		2547		3530		3600		2542		
6012		5951		Err		5965		3891		Err		5914		3909		2514		3507		3619		2538		
6016		5881		3544		5984		3933		3628		5942		3877		2542		3525		3619		2524		
6002		5942		3544		Err		3891		3614		5890		3928		2519		3544		3595		2524		
5988		5900		3549		6002		3900		3600		5862		3938		2528		Err		3614		2528		
6012		5886		3548		5988		3900		3637		5933		3905		2542		3511		3609		2486		
6002		5909		3544		6026		3909		3609		5961		3909		2524		3521		3600		2528		
5988		5979		3521		5998		3900		3637		5890		3914		2528		3502		3619		2524		
6007		5947		3530		Err		3923		3605		5923		3877		Err		3535		3586		2538		
5975		5895		3530		6026		3914		3623		5956		3877		2711		3553		3619		2893		
6026		5956		3535		6007		3905		3628		5937		3909		2509		3549		3605		2505		
6016		5947		3521		5993		3877		Err		Err		3905		2491		3488		3637		2570		
